-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.005
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	18896.0	18896.0	18896.0	0	 	0
0	2	4024.0	4024.0	4024.0	0	 	0
0	3	20002.0	19848.0	21410.0	1408.0	 	0
0	4	10104.0	9624.0	9624.0	0	 	480.0
0	5	10096.0	10096.0	10096.0	0	 	0
1	0	17050.0	16416.0	17051.0	1.0	 	0
1	2	16906.0	16752.0	16752.0	0	 	154.0
1	3	9052.0	9360.0	9360.0	308.0	 	0
1	4	9880.0	10360.0	11101.0	1221.0	 	0
1	5	7384.0	7384.0	7384.0	0	 	0
2	0	8280.0	8280.0	8280.0	0	 	0
2	1	21528.0	21528.0	19688.0	0	 	1840.0
2	3	3570.0	3416.0	3416.0	0	 	154.0
2	4	14152.0	14152.0	14152.0	0	 	0
2	5	10632.0	10632.0	10632.0	0	 	0
3	0	11168.0	11168.0	11168.0	0	 	0
3	1	6640.0	6640.0	6640.0	0	 	0
3	2	6264.0	6264.0	6023.0	0	 	241.0
3	4	18480.0	18480.0	18480.0	0	 	0
3	5	17056.0	17056.0	17056.0	0	 	0
4	0	20744.0	20744.0	20744.0	0	 	0
4	1	1456.0	1456.0	1456.0	0	 	0
4	2	512.0	512.0	512.0	0	 	0
4	3	10864.0	10864.0	10864.0	0	 	0
4	5	264.0	264.0	264.0	0	 	0
5	0	3616.0	3616.0	3616.0	0	 	0
5	1	15904.0	15904.0	15904.0	0	 	0
5	2	21968.0	21968.0	21968.0	0	 	0
5	3	12400.0	12400.0	12400.0	0	 	0
5	4	9640.0	9640.0	9640.0	0	 	0

l	i	j	v Observado	v Estimado
0	0	1	26286.0	26286.0
1	0	1	26286.0	26286.0
0	1	2	17214.0	17214.0
1	1	2	17214.0	17214.0
0	0	3	16370.0	16370.0
0	3	2	11546.0	11546.0
1	0	3	16370.0	16370.0
1	3	2	11546.0	11546.0
0	0	4	9992.0	9992.0
1	0	4	9992.0	9992.0
0	0	5	15662.0	15662.0
1	0	5	15662.0	15662.0
0	1	0	24148.0	24148.0
1	1	0	24148.0	24148.0
0	2	3	15852.0	15852.0
1	2	3	15852.0	15852.0
0	2	1	17152.0	17152.0
1	2	1	17152.0	17152.0
0	3	0	13578.0	13578.0
1	3	0	13578.0	13578.0
0	3	4	23238.0	23238.0
1	3	4	23238.0	23238.0
0	4	5	7054.0	7054.0
1	4	5	7054.0	7054.0
0	4	0	11100.0	11100.0
1	4	0	11100.0	11100.0
0	4	3	14280.0	14280.0
1	4	3	14280.0	14280.0
0	5	0	18352.0	18352.0
1	5	0	18352.0	18352.0
0	5	4	13412.0	13412.0
1	5	4	13412.0	13412.0
