-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.005
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	1428.0	1428.0	1428.0	0	 	0
0	2	4608.0	4608.0	4608.0	0	 	0
0	3	31584.0	31584.0	31584.0	0	 	0
0	4	35256.0	35256.0	35256.0	0	 	0
0	5	36876.0	34776.0	37180.0	304.0	 	0
1	0	31068.0	28968.0	28968.0	0	 	2100.0
1	2	30912.0	30912.0	30912.0	0	 	0
1	3	14520.0	14520.0	14520.0	0	 	0
1	4	30060.0	30060.0	30060.0	0	 	0
1	5	17016.0	19116.0	19116.0	2100.0	 	0
2	0	30600.0	30600.0	30600.0	0	 	0
2	1	264.0	264.0	238.0	0	 	26.0
2	3	9420.0	9420.0	8826.0	0	 	594.0
2	4	14184.0	14184.0	14184.0	0	 	0
2	5	13656.0	13656.0	13656.0	0	 	0
3	0	9156.0	9156.0	9156.0	0	 	0
3	1	31200.0	31200.0	31200.0	0	 	0
3	2	3804.0	3804.0	3804.0	0	 	0
3	4	32304.0	32304.0	32304.0	0	 	0
3	5	20784.0	20784.0	20784.0	0	 	0
4	0	18540.0	18540.0	18540.0	0	 	0
4	1	21864.0	21864.0	21864.0	0	 	0
4	2	10980.0	10980.0	10980.0	0	 	0
4	3	168.0	168.0	168.0	0	 	0
4	5	1608.0	1608.0	1608.0	0	 	0
5	0	20784.0	20784.0	20784.0	0	 	0
5	1	8784.0	8784.0	9526.0	742.0	 	0
5	2	4128.0	4128.0	4469.0	341.0	 	0
5	3	11028.0	11028.0	11028.0	0	 	0
5	4	13704.0	13704.0	13704.0	0	 	0

l	i	j	v Observado	v Estimado
0	0	1	17348.0	17348.0
1	0	1	17348.0	17348.0
2	0	1	17348.0	17348.0
0	1	2	14180.0	14180.0
1	1	2	14180.0	14180.0
2	1	2	14180.0	14180.0
0	0	3	15554.0	15554.0
0	3	2	11584.0	11584.0
1	0	3	15554.0	15554.0
1	3	2	11584.0	11584.0
2	0	3	15554.0	15554.0
2	3	2	11584.0	11584.0
0	0	4	21772.0	21772.0
1	0	4	21772.0	21772.0
2	0	4	21772.0	21772.0
0	0	5	23704.0	23704.0
1	0	5	23704.0	23704.0
2	0	5	23704.0	23704.0
0	1	0	35844.0	35844.0
1	1	0	35844.0	35844.0
2	1	0	35844.0	35844.0
0	2	3	17664.0	17664.0
1	2	3	17664.0	17664.0
2	2	3	17664.0	17664.0
0	2	1	12664.0	12664.0
1	2	1	12664.0	12664.0
2	2	1	12664.0	12664.0
0	3	0	16816.0	16816.0
1	3	0	16816.0	16816.0
2	3	0	16816.0	16816.0
0	3	4	21236.0	21236.0
1	3	4	21236.0	21236.0
2	3	4	21236.0	21236.0
0	4	5	6276.0	6276.0
1	4	5	6276.0	6276.0
2	4	5	6276.0	6276.0
0	4	0	13468.0	13468.0
1	4	0	13468.0	13468.0
2	4	0	13468.0	13468.0
0	4	3	6242.0	6242.0
1	4	3	6242.0	6242.0
2	4	3	6242.0	6242.0
0	5	0	12382.0	12382.0
1	5	0	12382.0	12382.0
2	5	0	12382.0	12382.0
0	5	4	7094.0	7094.0
1	5	4	7094.0	7094.0
2	5	4	7094.0	7094.0
