,0,1,2
0,0,1,367968.0
1,0,2,241296.0
2,0,3,45648.0
3,0,4,3408.0
4,0,5,108432.0
5,0,6,392592.0
6,0,7,432.0
7,0,8,181632.0
8,0,9,201312.0
9,0,10,371664.0
10,0,11,324960.0
11,0,12,329472.0
12,0,13,271872.0
13,0,14,358230.0
14,0,15,294096.0
15,0,16,100320.0
16,1,0,303648.0
17,1,2,258960.0
18,1,3,127584.0
19,1,4,349392.0
20,1,5,255360.0
21,1,6,205632.0
22,1,7,181824.0
23,1,8,406032.0
24,1,9,192789.0
25,1,10,187968.0
26,1,11,208752.0
27,1,12,203123.0
28,1,13,176640.0
29,1,14,4464.0
30,1,15,165984.0
31,1,16,90912.0
32,2,0,212448.0
33,2,1,208464.0
34,2,3,19824.0
35,2,4,331360.0
36,2,5,145008.0
37,2,6,19249.0
38,2,7,252048.0
39,2,8,231217.0
40,2,9,405888.0
41,2,10,92064.0
42,2,11,292848.0
43,2,12,10865.0
44,2,13,351504.0
45,2,14,345504.0
46,2,15,239664.0
47,2,16,85728.0
48,3,0,139632.0
49,3,1,114768.0
50,3,2,370656.0
51,3,4,81168.0
52,3,5,17088.0
53,3,6,182496.0
54,3,7,367200.0
55,3,8,95520.0
56,3,9,282720.0
57,3,10,254640.0
58,3,11,88368.0
59,3,12,185291.0
60,3,13,71339.0
61,3,14,325872.0
62,3,15,2832.0
63,3,16,30624.0
64,4,0,29040.0
65,4,1,131136.0
66,4,2,3744.0
67,4,3,120336.0
68,4,5,157920.0
69,4,6,329616.0
70,4,7,321948.0
71,4,8,264384.0
72,4,9,353184.0
73,4,10,204048.0
74,4,11,297072.0
75,4,12,404736.0
76,4,13,343536.0
77,4,14,360624.0
78,4,15,273792.0
79,4,16,394368.0
80,5,0,332016.0
81,5,1,239952.0
82,5,2,187344.0
83,5,3,205995.0
84,5,4,366336.0
85,5,6,43240.0
86,5,7,350304.0
87,5,8,232992.0
88,5,9,159936.0
89,5,10,157728.0
90,5,11,93552.0
91,5,12,119033.0
92,5,13,249072.0
93,5,14,238656.0
94,5,15,155184.0
95,5,16,208800.0
96,6,0,277420.0
97,6,1,51984.0
98,6,2,155280.0
99,6,3,399744.0
100,6,4,403152.0
101,6,5,176736.0
102,6,7,185136.0
103,6,8,381264.0
104,6,9,208416.0
105,6,10,328176.0
106,6,11,392736.0
107,6,12,17616.0
108,6,13,316800.0
109,6,14,206064.0
110,6,15,61200.0
111,6,16,112464.0
112,7,0,371952.0
113,7,1,66480.0
114,7,2,85968.0
115,7,3,134003.0
116,7,4,377424.0
117,7,5,29232.0
118,7,6,24528.0
119,7,8,10944.0
120,7,9,142992.0
121,7,10,352128.0
122,7,11,276288.0
123,7,12,231140.0
124,7,13,67680.0
125,7,14,319296.0
126,7,15,204720.0
127,7,16,381024.0
128,8,0,97632.0
129,8,1,379248.0
130,8,2,361056.0
131,8,3,720.0
132,8,4,14976.0
133,8,5,282096.0
134,8,6,272527.0
135,8,7,168144.0
136,8,9,97344.0
137,8,10,284978.0
138,8,11,364704.0
139,8,12,32112.0
140,8,13,284832.0
141,8,14,78624.0
142,8,15,298416.0
143,8,16,26352.0
144,9,0,267600.0
145,9,1,248656.0
146,9,2,294624.0
147,9,3,230112.0
148,9,4,24240.0
149,9,5,321072.0
150,9,6,156912.0
151,9,7,365856.0
152,9,8,150336.0
153,9,10,331392.0
154,9,11,288048.0
155,9,12,99677.0
156,9,13,326880.0
157,9,14,52505.0
158,9,15,344448.0
159,9,16,68331.0
160,10,0,54720.0
161,10,1,208982.0
162,10,2,52512.0
163,10,3,199776.0
164,10,4,390096.0
165,10,5,291696.0
166,10,6,294048.0
167,10,7,53856.0
168,10,8,162288.0
169,10,9,333612.0
170,10,11,182304.0
171,10,12,104688.0
172,10,13,403200.0
173,10,14,17664.0
174,10,15,40944.0
175,10,16,140688.0
176,11,0,286464.0
177,11,1,373280.0
178,11,2,94224.0
179,11,3,299664.0
180,11,4,36288.0
181,11,5,130080.0
182,11,6,3024.0
183,11,7,301296.0
184,11,8,32016.0
185,11,9,61872.0
186,11,10,218016.0
187,11,12,363072.0
188,11,13,164976.0
189,11,14,317136.0
190,11,15,23376.0
191,11,16,92256.0
192,12,0,26400.0
193,12,1,329760.0
194,12,2,308688.0
195,12,3,189744.0
196,12,4,163776.0
197,12,5,214157.0
198,12,6,109584.0
199,12,7,222288.0
200,12,8,122352.0
201,12,9,133728.0
202,12,10,367872.0
203,12,11,34464.0
204,12,13,189301.0
205,12,14,113232.0
206,12,15,205968.0
207,12,16,15216.0
208,13,0,285936.0
209,13,1,283392.0
210,13,2,159216.0
211,13,3,207120.0
212,13,4,249072.0
213,13,5,134016.0
214,13,6,108000.0
215,13,7,313263.0
216,13,8,154752.0
217,13,9,361200.0
218,13,10,11952.0
219,13,11,303216.0
220,13,12,144192.0
221,13,14,75024.0
222,13,15,330720.0
223,13,16,232761.0
224,14,0,395088.0
225,14,1,116208.0
226,14,2,60624.0
227,14,3,202464.0
228,14,4,93072.0
229,14,5,346176.0
230,14,6,153072.0
231,14,7,217440.0
232,14,8,99905.0
233,14,9,203808.0
234,14,10,404928.0
235,14,11,320256.0
236,14,12,183322.0
237,14,13,202848.0
238,14,15,261998.0
239,14,16,282384.0
240,15,0,32926.0
241,15,1,254155.0
242,15,2,217152.0
243,15,3,253344.0
244,15,4,4512.0
245,15,5,138146.0
246,15,6,212112.0
247,15,7,149184.0
248,15,8,150912.0
249,15,9,173934.0
250,15,10,186384.0
251,15,11,240672.0
252,15,12,315961.0
253,15,13,79008.0
254,15,14,170152.0
255,15,16,107232.0
256,16,0,248064.0
257,16,1,297840.0
258,16,2,179472.0
259,16,3,135216.0
260,16,4,18192.0
261,16,5,49886.0
262,16,6,91968.0
263,16,7,78336.0
264,16,8,219264.0
265,16,9,386688.0
266,16,10,219984.0
267,16,11,328848.0
268,16,12,179246.0
269,16,13,39360.0
270,16,14,136656.0
271,16,15,204864.0
