,0,1,2
0,0,1,4990
1,0,2,2031
2,0,3,9363
3,0,4,3235
4,0,5,14856
5,0,6,9184
6,0,7,1953
7,0,8,1159
8,0,9,12727
9,0,10,1276
10,0,11,943
11,0,12,579
12,0,13,9759
13,0,14,960
14,0,15,55
15,0,16,101
16,1,0,22279
17,1,2,46544
18,1,3,37094
19,1,4,34817
20,1,5,52390
21,1,6,16154
22,1,7,10926
23,1,8,10355
24,1,9,37500
25,1,10,12608
26,1,11,11133
27,1,12,20794
28,1,13,12298
29,1,14,26475
30,1,15,325
31,1,16,977
32,2,0,19997
33,2,1,66896
34,2,3,38602
35,2,4,41358
36,2,5,42038
37,2,6,11489
38,2,7,6808
39,2,8,5329
40,2,9,47626
41,2,10,21312
42,2,11,25481
43,2,12,26235
44,2,13,9665
45,2,14,9052
46,2,15,286
47,2,16,1819
48,3,0,992
49,3,1,1148
50,3,2,567
51,3,4,2777
52,3,5,3515
53,3,6,594
54,3,7,196
55,3,8,189
56,3,9,3494
57,3,10,398
58,3,11,178
59,3,12,107
60,3,13,353
61,3,14,164
62,3,15,5
63,3,16,14
64,4,0,3386
65,4,1,11710
66,4,2,6652
67,4,3,15977
68,4,5,13154
69,4,6,2808
70,4,7,1147
71,4,8,1099
72,4,9,10896
73,4,10,3275
74,4,11,1492
75,4,12,830
76,4,13,1456
77,4,14,1029
78,4,15,29
79,4,16,97
80,5,0,7877
81,5,1,10851
82,5,2,3161
83,5,3,22638
84,5,4,9996
85,5,6,8798
86,5,7,2721
87,5,8,3921
88,5,9,10173
89,5,10,1768
90,5,11,1163
91,5,12,710
92,5,13,2697
93,5,14,1510
94,5,15,46
95,5,16,93
96,6,0,8786
97,6,1,6501
98,6,2,2102
99,6,3,9258
100,6,4,4442
101,6,5,2520
102,6,7,4870
103,6,8,3644
104,6,9,6903
105,6,10,390
106,6,11,779
107,6,12,624
108,6,13,3241
109,6,14,1138
110,6,15,42
111,6,16,85
112,7,0,34799
113,7,1,72041
114,7,2,18503
115,7,3,40032
116,7,4,29017
117,7,5,89590
118,7,6,33206
119,7,8,26629
120,7,9,39729
121,7,10,61369
122,7,11,17208
123,7,12,7145
124,7,13,19706
125,7,14,18398
126,7,15,734
127,7,16,893
128,8,0,10351
129,8,1,36133
130,8,2,5321
131,8,3,15331
132,8,4,9904
133,8,5,33622
134,8,6,12438
135,8,7,10855
136,8,9,11939
137,8,10,2460
138,8,11,1832
139,8,12,1539
140,8,13,4428
141,8,14,5531
142,8,15,107
143,8,16,188
144,9,0,25874
145,9,1,17638
146,9,2,12240
147,9,3,54585
148,9,4,21474
149,9,5,38111
150,9,6,10602
151,9,7,4344
152,9,8,2874
153,9,10,11834
154,9,11,5416
155,9,12,3025
156,9,13,7988
157,9,14,3372
158,9,15,133
159,9,16,520
160,10,0,9663
161,10,1,17246
162,10,2,20822
163,10,3,21402
164,10,4,20074
165,10,5,17643
166,10,6,5299
167,10,7,2599
168,10,8,1987
169,10,9,37896
170,10,11,19556
171,10,12,3724
172,10,13,5080
173,10,14,2935
174,10,15,109
175,10,16,688
176,11,0,17607
177,11,1,35185
178,11,2,35946
179,11,3,30247
180,11,4,26360
181,11,5,35584
182,11,6,10423
183,11,7,6319
184,11,8,4452
185,11,9,46708
186,11,10,39940
187,11,12,11045
188,11,13,10479
189,11,14,6359
190,11,15,305
191,11,16,4309
192,12,0,5643
193,12,1,16048
194,12,2,19891
195,12,3,8483
196,12,4,8351
197,12,5,11306
198,12,6,3482
199,12,7,2099
200,12,8,1413
201,12,9,10551
202,12,10,4569
203,12,11,6635
204,12,13,3473
205,12,14,3551
206,12,15,107
207,12,16,636
208,13,0,41945
209,13,1,15466
210,13,2,6690
211,13,3,21257
212,13,4,10088
213,13,5,32646
214,13,6,6953
215,13,7,5331
216,13,8,3401
217,13,9,21933
218,13,10,3614
219,13,11,3339
220,13,12,2445
221,13,14,3574
222,13,15,443
223,13,16,394
224,14,0,14955
225,14,1,69989
226,14,2,15882
227,14,3,22837
228,14,4,18211
229,14,5,34707
230,14,6,12135
231,14,7,11900
232,14,8,8679
233,14,9,24369
234,14,10,5552
235,14,11,5599
236,14,12,6489
237,14,13,7989
238,14,15,337
239,14,16,531
240,15,0,3392
241,15,1,3144
242,15,2,1289
243,15,3,3026
244,15,4,1557
245,15,5,4253
246,15,6,1544
247,15,7,1590
248,15,8,728
249,15,9,3350
250,15,10,3435
251,15,11,1331
252,15,12,570
253,15,13,3654
254,15,14,1095
255,15,16,105
256,16,0,3180
257,16,1,5359
258,16,2,4262
259,16,3,4723
260,16,4,3759
261,16,5,5895
262,16,6,1808
263,16,7,1116
264,16,8,645
265,16,9,7160
266,16,10,5255
267,16,11,4534
268,16,12,2126
269,16,13,2171
270,16,14,1168
271,16,15,63
