,0,1,2
0,0,1,62652.0
1,0,2,49572.0
2,0,3,15576.0
3,0,4,4596.0
4,0,5,53364.0
5,0,6,69024.0
6,0,7,46992.0
7,0,8,53280.0
8,0,9,34008.0
9,0,10,60120.0
10,0,11,43260.0
11,0,12,33480.0
12,1,0,12612.0
13,1,2,20220.0
14,1,3,972.0
15,1,4,10428.0
16,1,5,61308.0
17,1,6,8316.0
18,1,7,17652.0
19,1,8,76404.0
20,1,9,41172.0
21,1,10,22092.0
22,1,11,13236.0
23,1,12,54480.0
24,2,0,70032.0
25,2,1,31764.0
26,2,3,48420.0
27,2,4,44784.0
28,2,5,73896.0
29,2,6,15720.0
30,2,7,43392.0
31,2,8,35928.0
32,2,9,73188.0
33,2,10,12564.0
34,2,11,45312.0
35,2,12,40788.0
36,3,0,73788.0
37,3,1,71076.0
38,3,2,5028.0
39,3,4,54780.0
40,3,5,18840.0
41,3,6,6420.0
42,3,7,35832.0
43,3,8,50352.0
44,3,9,31428.0
45,3,10,46164.0
46,3,11,39228.0
47,3,12,36732.0
48,4,0,960.0
49,4,1,312.0
50,4,2,56904.0
51,4,3,53196.0
52,4,5,42948.0
53,4,6,72072.0
54,4,7,56124.0
55,4,8,45144.0
56,4,9,49872.0
57,4,10,23160.0
58,4,11,28704.0
59,4,12,37956.0
60,5,0,55428.0
61,5,1,9048.0
62,5,2,6036.0
63,5,3,61500.0
64,5,4,70980.0
65,5,6,49224.0
66,5,7,53148.0
67,5,8,32088.0
68,5,9,16812.0
69,5,10,46248.0
70,5,11,27456.0
71,5,12,41460.0
72,6,0,58896.0
73,6,1,69012.0
74,6,2,2472.0
75,6,3,65556.0
76,6,4,15612.0
77,6,5,9552.0
78,6,7,59928.0
79,6,8,25392.0
80,6,9,64056.0
81,6,10,16032.0
82,6,11,32388.0
83,6,12,76200.0
84,7,0,64380.0
85,7,1,75600.0
86,7,2,39984.0
87,7,3,42408.0
88,7,4,30852.0
89,7,5,12672.0
90,7,6,48948.0
91,7,8,37020.0
92,7,9,4308.0
93,7,10,37836.0
94,7,11,9612.0
95,7,12,6132.0
96,8,0,66888.0
97,8,1,52524.0
98,8,2,17100.0
99,8,3,12372.0
100,8,4,36732.0
101,8,5,18444.0
102,8,6,72996.0
103,8,7,29208.0
104,8,9,23880.0
105,8,10,76524.0
106,8,11,54612.0
107,8,12,19692.0
108,9,0,67836.0
109,9,1,46728.0
110,9,2,46464.0
111,9,3,76728.0
112,9,4,19764.0
113,9,5,28488.0
114,9,6,66528.0
115,9,7,27852.0
116,9,8,43812.0
117,9,10,39756.0
118,9,11,62268.0
119,9,12,55380.0
120,10,0,76212.0
121,10,1,32772.0
122,10,2,50484.0
123,10,3,17184.0
124,10,4,48012.0
125,10,5,56784.0
126,10,6,32328.0
127,10,7,55104.0
128,10,8,49476.0
129,10,9,33120.0
130,10,11,32616.0
131,10,12,22092.0
132,11,0,18072.0
133,11,1,44256.0
134,11,2,21516.0
135,11,3,29712.0
136,11,4,37308.0
137,11,5,37392.0
138,11,6,25176.0
139,11,7,27012.0
140,11,8,5904.0
141,11,9,11340.0
142,11,10,8628.0
143,11,12,10200.0
144,12,0,62376.0
145,12,1,75660.0
146,12,2,27648.0
147,12,3,22884.0
148,12,4,56784.0
149,12,5,48948.0
150,12,6,22092.0
151,12,7,1476.0
152,12,8,70380.0
153,12,9,42888.0
154,12,10,28812.0
155,12,11,15456.0
