,0,1,2
0,0,1,4708
1,0,2,2031
2,0,3,9653
3,0,4,3594
4,0,5,15159
5,0,6,8747
6,0,7,1808
7,0,8,1159
8,0,9,11894
9,0,10,1276
10,0,11,972
11,0,12,623
12,0,13,8872
13,0,14,980
14,0,15,58
15,0,16,100
16,1,0,20629
17,1,2,46083
18,1,3,39046
19,1,4,38685
20,1,5,51363
21,1,6,15097
22,1,7,11501
23,1,8,10460
24,1,9,40323
25,1,10,12123
26,1,11,10503
27,1,12,19804
28,1,13,11493
29,1,14,24976
30,1,15,335
31,1,16,987
32,2,0,18865
33,2,1,64948
34,2,3,37117
35,2,4,44471
36,2,5,42463
37,2,6,12354
38,2,7,7564
39,2,8,5669
40,2,9,44098
41,2,10,22434
42,2,11,25229
43,2,12,25721
44,2,13,10392
45,2,14,9332
46,2,15,270
47,2,16,1669
48,3,0,973
49,3,1,1137
50,3,2,520
51,3,4,2645
52,3,5,3906
53,3,6,653
54,3,7,211
55,3,8,178
56,3,9,3328
57,3,10,394
58,3,11,196
59,3,12,109
60,3,13,333
61,3,14,152
62,3,15,5
63,3,16,15
64,4,0,3420
65,4,1,10944
66,4,2,6217
67,4,3,15664
68,4,5,12528
69,4,6,2600
70,4,7,1170
71,4,8,1037
72,4,9,10788
73,4,10,3376
74,4,11,1408
75,4,12,883
76,4,13,1566
77,4,14,1039
78,4,15,30
79,4,16,103
80,5,0,7161
81,5,1,11795
82,5,2,3099
83,5,3,21157
84,5,4,9087
85,5,6,9360
86,5,7,2748
87,5,8,3631
88,5,9,9782
89,5,10,1622
90,5,11,1057
91,5,12,763
92,5,13,2780
93,5,14,1541
94,5,15,44
95,5,16,97
96,6,0,8530
97,6,1,6501
98,6,2,2021
99,6,3,8817
100,6,4,4075
101,6,5,2471
102,6,7,4594
103,6,8,3877
104,6,9,7117
105,6,10,394
106,6,11,795
107,6,12,583
108,6,13,3485
109,6,14,1198
110,6,15,46
111,6,16,80
112,7,0,35509
113,7,1,66705
114,7,2,18503
115,7,3,44480
116,7,4,27635
117,7,5,82193
118,7,6,36895
119,7,8,25605
120,7,9,42719
121,7,10,66705
122,7,11,18503
123,7,12,6678
124,7,13,20527
125,7,14,20442
126,7,15,816
127,7,16,819
128,8,0,9496
129,8,1,35081
130,8,2,5430
131,8,3,15030
132,8,4,9806
133,8,5,35768
134,8,6,13520
135,8,7,11548
136,8,9,12060
137,8,10,2343
138,8,11,1796
139,8,12,1691
140,8,13,4711
141,8,14,5028
142,8,15,110
143,8,16,183
144,9,0,27526
145,9,1,19382
146,9,2,11439
147,9,3,53515
148,9,4,22845
149,9,5,37734
150,9,6,10818
151,9,7,4217
152,9,8,2963
153,9,10,11489
154,9,11,6018
155,9,12,2966
156,9,13,8235
157,9,14,3339
158,9,15,148
159,9,16,520
160,10,0,9860
161,10,1,16744
162,10,2,21690
163,10,3,21839
164,10,4,19680
165,10,5,19603
166,10,6,5578
167,10,7,2795
168,10,8,1987
169,10,9,37521
170,10,11,19754
171,10,12,4048
172,10,13,4618
173,10,14,2795
174,10,15,102
175,10,16,649
176,11,0,19348
177,11,1,32579
178,11,2,39940
179,11,3,32877
180,11,4,26099
181,11,5,34886
182,11,6,10972
183,11,7,6256
184,11,8,4084
185,11,9,48654
186,11,10,39940
187,11,12,12005
188,11,13,10585
189,11,14,6489
190,11,15,277
191,11,16,4266
192,12,0,5426
193,12,1,15581
194,12,2,18590
195,12,3,8656
196,12,4,7878
197,12,5,10566
198,12,6,3381
199,12,7,2332
200,12,8,1570
201,12,9,11224
202,12,10,4351
203,12,11,6032
204,12,13,3246
205,12,14,3228
206,12,15,98
207,12,16,612
208,13,0,45592
209,13,1,14454
210,13,2,6559
211,13,3,19866
212,13,4,9890
213,13,5,30798
214,13,6,6559
215,13,7,5732
216,13,8,3270
217,13,9,22381
218,13,10,3650
219,13,11,3211
220,13,12,2264
221,13,14,3372
222,13,15,430
223,13,16,372
224,14,0,14955
225,14,1,63626
226,14,2,15271
227,14,3,22837
228,14,4,17180
229,14,5,34363
230,14,6,11236
231,14,7,12020
232,14,8,8188
233,14,9,23209
234,14,10,5724
235,14,11,5184
236,14,12,6759
237,14,13,8684
238,14,15,330
239,14,16,565
240,15,0,3112
241,15,1,3241
242,15,2,1416
243,15,3,2776
244,15,4,1730
245,15,5,4012
246,15,6,1643
247,15,7,1639
248,15,8,668
249,15,9,3490
250,15,10,3241
251,15,11,1416
252,15,12,606
253,15,13,3767
254,15,14,1106
255,15,16,99
256,16,0,3313
257,16,1,5203
258,16,2,4534
259,16,3,4819
260,16,4,3580
261,16,5,5561
262,16,6,1864
263,16,7,1162
264,16,8,709
265,16,9,7160
266,16,10,5203
267,16,11,4534
268,16,12,1933
269,16,13,2010
270,16,14,1180
271,16,15,61
