,0,1,2,3,4,5
0,0,1,0,0,1,0.5
1,0,2,0,0,2,0.5
2,0,3,0,0,3,0.5
3,0,4,0,0,1,0.25
4,0,4,0,1,4,0.25
5,0,4,0,0,2,0.25
6,0,4,0,2,4,0.25
7,0,5,0,0,2,0.25
8,0,5,0,2,5,0.25
9,0,5,0,0,3,0.25
10,0,5,0,3,5,0.25
11,0,6,0,0,1,0.25
12,0,6,0,1,6,0.25
13,0,6,0,0,17,0.25
14,0,6,1,0,17,0.25
15,0,7,0,0,1,0.25
16,0,7,0,1,7,0.25
17,0,7,0,0,11,0.25
18,0,7,1,0,11,0.25
19,0,8,0,0,1,0.25
20,0,8,0,1,8,0.25
21,0,8,0,0,18,0.25
22,0,8,1,0,18,0.25
23,0,9,0,0,11,0.25
24,0,9,0,11,9,0.25
25,0,9,1,0,11,0.25
26,0,9,0,0,14,0.25
27,0,9,1,0,14,0.25
28,0,10,0,0,11,0.5
29,0,10,0,11,10,0.5
30,0,10,1,0,11,0.5
31,0,11,0,0,11,0.5
32,0,11,1,0,11,0.5
33,0,12,0,0,18,0.25
34,0,12,0,18,12,0.25
35,0,12,1,0,18,0.25
36,0,12,0,0,11,0.25
37,0,12,0,11,12,0.25
38,0,12,1,0,11,0.25
39,0,13,0,0,16,0.25
40,0,13,1,0,16,0.25
41,0,13,0,0,11,0.25
42,0,13,0,11,13,0.25
43,0,13,1,0,11,0.25
44,0,14,0,0,14,0.5
45,0,14,1,0,14,0.5
46,0,15,0,0,15,0.5
47,0,16,0,0,16,0.5
48,0,16,1,0,16,0.5
49,0,17,0,0,17,0.5
50,0,17,1,0,17,0.5
51,0,18,0,0,18,0.5
52,0,18,1,0,18,0.5
53,1,0,0,1,0,0.5
54,1,2,0,1,2,0.5
55,1,3,0,1,3,0.5
56,1,4,0,1,4,0.5
57,1,5,0,1,2,0.25
58,1,5,0,2,5,0.25
59,1,5,0,1,3,0.25
60,1,5,0,3,5,0.25
61,1,6,0,1,6,0.5
62,1,7,0,1,7,0.5
63,1,8,0,1,8,0.5
64,1,9,0,1,4,0.25
65,1,9,0,4,9,0.25
66,1,9,0,1,7,0.25
67,1,9,0,7,9,0.25
68,1,10,0,1,7,0.25
69,1,10,0,7,10,0.25
70,1,10,0,1,8,0.25
71,1,10,0,8,10,0.25
72,1,11,0,1,0,0.25
73,1,11,0,0,11,0.25
74,1,11,1,0,11,0.25
75,1,11,0,1,7,0.25
76,1,11,0,7,11,0.25
77,1,12,0,1,18,0.25
78,1,12,0,18,12,0.25
79,1,12,0,1,7,0.25
80,1,12,0,7,12,0.25
81,1,13,0,1,0,0.5
82,1,13,0,0,16,0.5
83,1,13,1,0,16,0.5
84,1,14,0,1,0,0.25
85,1,14,0,0,14,0.25
86,1,14,1,0,14,0.25
87,1,14,0,1,17,0.25
88,1,14,1,1,17,0.25
89,1,15,0,1,0,0.25
90,1,15,0,0,15,0.25
91,1,15,0,1,18,0.25
92,1,15,0,18,15,0.25
93,1,16,0,1,0,0.25
94,1,16,0,0,16,0.25
95,1,16,1,0,16,0.25
96,1,16,0,1,2,0.25
97,1,16,0,2,16,0.25
98,1,17,0,1,17,0.5
99,1,17,1,1,17,0.5
100,1,18,0,1,18,0.5
101,2,0,0,2,0,0.5
102,2,1,0,2,1,0.5
103,2,3,0,2,3,0.5
104,2,4,0,2,4,0.5
105,2,5,0,2,5,0.5
106,2,6,0,2,1,0.25
107,2,6,0,1,6,0.25
108,2,6,0,2,3,0.25
109,2,6,0,3,6,0.25
110,2,7,0,2,1,0.25
111,2,7,0,1,7,0.25
112,2,7,0,2,4,0.25
113,2,7,0,4,7,0.25
114,2,8,0,2,1,0.25
115,2,8,0,1,8,0.25
116,2,8,0,2,5,0.25
117,2,8,0,5,8,0.25
118,2,9,0,2,4,0.5
119,2,9,0,4,9,0.5
120,2,10,0,2,1,0.5
121,2,10,0,1,7,0.5
122,2,10,0,7,10,0.5
123,2,11,0,2,0,0.5
124,2,11,0,0,11,0.5
125,2,11,1,0,11,0.5
126,2,12,0,2,5,0.25
127,2,12,0,5,12,0.25
128,2,12,0,2,18,0.25
129,2,12,0,18,12,0.25
130,2,13,0,2,5,0.25
131,2,13,0,5,13,0.25
132,2,13,0,2,16,0.25
133,2,14,0,2,0,0.25
134,2,14,0,0,14,0.25
135,2,14,1,0,14,0.25
136,2,14,0,2,5,0.25
137,2,14,0,5,14,0.25
138,2,15,0,2,0,0.25
139,2,15,0,0,15,0.25
140,2,15,0,2,18,0.25
141,2,15,0,18,15,0.25
142,2,16,0,2,16,0.5
143,2,17,0,2,17,0.5
144,2,18,0,2,18,0.5
145,3,0,0,3,0,0.5
146,3,1,0,3,1,0.5
147,3,2,0,3,2,0.5
148,3,4,0,3,4,0.5
149,3,5,0,3,5,0.5
150,3,6,0,3,6,0.5
151,3,7,0,3,4,0.25
152,3,7,0,4,7,0.25
153,3,7,0,3,1,0.25
154,3,7,0,1,7,0.25
155,3,8,0,3,1,0.25
156,3,8,0,1,8,0.25
157,3,8,0,3,5,0.25
158,3,8,0,5,8,0.25
159,3,9,0,3,4,0.25
160,3,9,0,4,9,0.25
161,3,9,0,3,6,0.25
162,3,9,0,6,9,0.25
163,3,10,0,3,4,0.5
164,3,10,0,4,7,0.5
165,3,10,0,7,10,0.5
166,3,11,0,3,0,0.5
167,3,11,0,0,11,0.5
168,3,11,1,0,11,0.5
169,3,12,0,3,5,0.5
170,3,12,0,5,12,0.5
171,3,13,0,3,5,0.25
172,3,13,0,5,13,0.25
173,3,13,0,3,16,0.25
174,3,14,0,3,5,0.25
175,3,14,0,5,14,0.25
176,3,14,0,3,0,0.25
177,3,14,0,0,14,0.25
178,3,14,1,0,14,0.25
179,3,15,0,3,0,0.25
180,3,15,0,0,15,0.25
181,3,15,0,3,16,0.25
182,3,15,0,16,15,0.25
183,3,16,0,3,16,0.5
184,3,17,0,3,2,0.25
185,3,17,0,2,17,0.25
186,3,17,0,3,1,0.25
187,3,17,0,1,17,0.25
188,3,17,1,1,17,0.25
189,3,18,0,3,2,0.25
190,3,18,0,2,18,0.25
191,3,18,0,3,1,0.25
192,3,18,0,1,18,0.25
193,4,0,0,4,3,0.25
194,4,0,0,3,0,0.25
195,4,0,0,4,2,0.25
196,4,0,0,2,0,0.25
197,4,1,0,4,1,0.5
198,4,2,0,4,2,0.5
199,4,3,0,4,3,0.5
200,4,5,0,4,5,0.5
201,4,6,0,4,6,0.5
202,4,7,0,4,7,0.5
203,4,8,0,4,5,0.25
204,4,8,0,5,8,0.25
205,4,8,0,4,6,0.25
206,4,8,0,6,8,0.25
207,4,9,0,4,9,0.5
208,4,10,0,4,7,0.25
209,4,10,0,7,10,0.25
210,4,10,0,4,9,0.25
211,4,10,0,9,10,0.25
212,4,11,0,4,7,0.25
213,4,11,0,7,11,0.25
214,4,11,0,4,9,0.25
215,4,11,0,9,11,0.25
216,4,12,0,4,5,0.25
217,4,12,0,5,12,0.25
218,4,12,0,4,7,0.25
219,4,12,0,7,12,0.25
220,4,13,0,4,5,0.5
221,4,13,0,5,13,0.5
222,4,14,0,4,5,0.25
223,4,14,0,5,14,0.25
224,4,14,0,4,6,0.25
225,4,14,0,6,14,0.25
226,4,15,0,4,3,0.5
227,4,15,0,3,0,0.5
228,4,15,0,0,15,0.5
229,4,16,0,4,3,0.25
230,4,16,0,3,16,0.25
231,4,16,0,4,2,0.25
232,4,16,0,2,16,0.25
233,4,17,0,4,2,0.25
234,4,17,0,2,17,0.25
235,4,17,0,4,6,0.25
236,4,17,0,6,17,0.25
237,4,18,0,4,2,0.25
238,4,18,0,2,18,0.25
239,4,18,0,4,1,0.25
240,4,18,0,1,18,0.25
241,5,0,0,5,3,0.25
242,5,0,0,3,0,0.25
243,5,0,0,5,2,0.25
244,5,0,0,2,0,0.25
245,5,1,0,5,4,0.25
246,5,1,0,4,1,0.25
247,5,1,0,5,6,0.25
248,5,1,1,5,6,0.25
249,5,2,0,5,2,0.5
250,5,3,0,5,3,0.5
251,5,4,0,5,4,0.5
252,5,6,0,5,6,0.5
253,5,6,1,5,6,0.5
254,5,7,0,5,7,0.5
255,5,8,0,5,8,0.5
256,5,9,0,5,4,0.25
257,5,9,0,4,9,0.25
258,5,9,0,5,6,0.25
259,5,9,0,6,9,0.25
260,5,9,1,5,6,0.25
261,5,10,0,5,7,0.25
262,5,10,0,7,10,0.25
263,5,10,0,5,8,0.25
264,5,10,0,8,10,0.25
265,5,11,0,5,7,0.25
266,5,11,0,7,11,0.25
267,5,11,0,5,8,0.25
268,5,11,0,8,11,0.25
269,5,12,0,5,12,0.5
270,5,13,0,5,13,0.5
271,5,14,0,5,14,0.5
272,5,15,0,5,13,0.25
273,5,15,0,13,15,0.25
274,5,15,0,5,12,0.25
275,5,15,0,12,15,0.25
276,5,16,0,5,6,0.25
277,5,16,0,6,16,0.25
278,5,16,1,5,6,0.25
279,5,16,0,5,3,0.25
280,5,16,0,3,16,0.25
281,5,17,0,5,6,0.25
282,5,17,0,6,17,0.25
283,5,17,1,5,6,0.25
284,5,17,0,5,2,0.25
285,5,17,0,2,17,0.25
286,5,18,0,5,2,0.25
287,5,18,0,2,18,0.25
288,5,18,0,5,8,0.25
289,5,18,0,8,18,0.25
290,6,0,0,6,3,0.25
291,6,0,0,3,0,0.25
292,6,0,0,1,0,0.25
293,6,2,0,6,5,0.25
294,6,2,0,5,2,0.25
295,6,2,0,6,4,0.25
296,6,2,0,4,2,0.25
297,6,3,0,6,3,0.5
298,6,4,0,6,4,0.5
299,6,5,0,6,5,0.5
300,6,7,0,6,7,0.5
301,6,8,0,6,8,0.5
302,6,9,0,6,9,0.5
303,6,10,0,6,7,0.25
304,6,10,0,7,10,0.25
305,6,10,0,6,8,0.25
306,6,10,0,8,10,0.25
307,6,11,0,6,7,0.25
308,6,11,0,7,11,0.25
309,6,11,0,6,8,0.25
310,6,11,0,8,11,0.25
311,6,12,0,6,5,0.25
312,6,12,0,5,12,0.25
313,6,12,0,6,7,0.25
314,6,12,0,7,12,0.25
315,6,13,0,6,5,0.25
316,6,13,0,5,13,0.25
317,6,13,0,6,16,0.25
318,6,14,0,6,14,0.5
319,6,15,0,6,17,0.25
320,6,15,0,17,15,0.25
321,6,15,0,6,16,0.25
322,6,15,0,16,15,0.25
323,6,16,0,6,16,0.5
324,6,17,0,6,17,0.5
325,6,18,0,6,8,0.25
326,6,18,0,8,18,0.25
327,6,18,0,1,18,0.25
328,7,0,0,7,1,0.25
329,7,0,0,1,0,0.25
330,7,0,0,7,11,0.25
331,7,0,0,11,0,0.25
332,7,1,0,7,1,0.5
333,7,2,0,7,5,0.25
334,7,2,0,5,2,0.25
335,7,2,0,7,4,0.25
336,7,2,0,4,2,0.25
337,7,3,0,7,6,0.25
338,7,3,0,6,3,0.25
339,7,3,0,7,5,0.25
340,7,3,0,5,3,0.25
341,7,4,0,7,4,0.5
342,7,5,0,7,5,0.5
343,7,6,0,7,6,0.5
344,7,8,0,7,8,0.5
345,7,9,0,7,9,0.5
346,7,10,0,7,10,0.5
347,7,11,0,7,11,0.5
348,7,12,0,7,12,0.5
349,7,13,0,7,5,0.25
350,7,13,0,5,13,0.25
351,7,13,0,7,10,0.25
352,7,13,0,10,13,0.25
353,7,14,0,7,6,0.25
354,7,14,0,6,14,0.25
355,7,14,0,7,5,0.25
356,7,14,0,5,14,0.25
357,7,15,0,7,12,0.5
358,7,15,0,12,15,0.5
359,7,16,0,7,6,0.5
360,7,16,0,6,16,0.5
361,7,17,0,7,6,0.25
362,7,17,0,6,17,0.25
363,7,17,0,7,1,0.25
364,7,17,0,1,17,0.25
365,7,17,1,1,17,0.25
366,7,18,0,7,8,0.25
367,7,18,0,8,18,0.25
368,7,18,0,7,1,0.25
369,7,18,0,1,18,0.25
370,8,0,0,8,11,0.25
371,8,0,0,11,0,0.25
372,8,0,0,8,1,0.25
373,8,0,0,1,0,0.25
374,8,1,0,8,1,0.5
375,8,2,0,8,5,0.25
376,8,2,0,5,2,0.25
377,8,2,0,8,1,0.25
378,8,2,0,1,2,0.25
379,8,3,0,8,6,0.25
380,8,3,0,6,3,0.25
381,8,3,0,8,5,0.25
382,8,3,0,5,3,0.25
383,8,4,0,8,7,0.25
384,8,4,0,7,4,0.25
385,8,4,0,8,9,0.25
386,8,4,1,8,9,0.25
387,8,5,0,8,5,0.5
388,8,6,0,8,6,0.5
389,8,7,0,8,7,0.5
390,8,9,0,8,9,0.5
391,8,9,1,8,9,0.5
392,8,10,0,8,10,0.5
393,8,11,0,8,11,0.5
394,8,12,0,8,7,0.25
395,8,12,0,7,12,0.25
396,8,12,0,8,9,0.25
397,8,12,0,9,12,0.25
398,8,12,1,8,9,0.25
399,8,13,0,8,10,0.25
400,8,13,0,10,13,0.25
401,8,13,0,8,5,0.25
402,8,13,0,5,13,0.25
403,8,14,0,8,9,0.25
404,8,14,0,9,14,0.25
405,8,14,1,8,9,0.25
406,8,14,0,8,6,0.25
407,8,14,0,6,14,0.25
408,8,15,0,8,18,0.5
409,8,15,0,18,15,0.5
410,8,16,0,8,6,0.25
411,8,16,0,6,16,0.25
412,8,16,0,8,18,0.25
413,8,16,0,18,16,0.25
414,8,17,0,8,6,0.25
415,8,17,0,6,17,0.25
416,8,17,0,8,1,0.25
417,8,17,0,1,17,0.25
418,8,17,1,1,17,0.25
419,8,18,0,8,18,0.5
420,9,0,0,9,11,0.25
421,9,0,0,11,0,0.25
422,9,0,0,9,14,0.25
423,9,0,0,14,0,0.25
424,9,1,0,9,8,0.25
425,9,1,0,8,1,0.25
426,9,1,0,9,7,0.25
427,9,1,0,7,1,0.25
428,9,2,0,4,2,0.5
429,9,3,0,9,6,0.25
430,9,3,0,6,3,0.25
431,9,3,0,4,3,0.25
432,9,5,0,9,8,0.25
433,9,5,0,8,5,0.25
434,9,5,0,9,7,0.25
435,9,5,0,7,5,0.25
436,9,6,0,9,6,0.5
437,9,7,0,9,7,0.5
438,9,8,0,9,8,0.5
439,9,10,0,9,10,0.5
440,9,11,0,9,11,0.5
441,9,12,0,9,12,0.5
442,9,13,0,9,10,0.25
443,9,13,0,10,13,0.25
444,9,13,0,9,11,0.25
445,9,13,0,11,13,0.25
446,9,14,0,9,14,0.5
447,9,15,0,9,12,0.25
448,9,15,0,12,15,0.25
449,9,15,0,9,14,0.25
450,9,15,0,14,15,0.25
451,9,16,0,9,6,0.25
452,9,16,0,6,16,0.25
453,9,16,0,9,14,0.25
454,9,16,0,14,16,0.25
455,9,17,0,9,6,0.25
456,9,17,0,6,17,0.25
457,9,17,0,9,14,0.25
458,9,17,0,14,17,0.25
459,9,18,0,9,8,0.25
460,9,18,0,8,18,0.25
461,9,18,0,9,12,0.25
462,9,18,0,12,18,0.25
463,10,0,0,10,11,0.5
464,10,0,0,11,0,0.5
465,10,1,0,10,8,0.25
466,10,1,0,8,1,0.25
467,10,1,0,10,7,0.25
468,10,1,0,7,1,0.25
469,10,2,0,10,9,0.5
470,10,2,0,4,2,0.5
471,10,3,0,10,9,0.5
472,10,3,0,9,6,0.5
473,10,3,0,6,3,0.5
474,10,4,0,10,9,0.25
475,10,4,0,10,7,0.25
476,10,4,0,7,4,0.25
477,10,5,0,10,8,0.25
478,10,5,0,8,5,0.25
479,10,5,0,10,12,0.25
480,10,5,1,10,12,0.25
481,10,6,0,10,9,0.25
482,10,6,0,9,6,0.25
483,10,6,0,10,8,0.25
484,10,6,0,8,6,0.25
485,10,7,0,10,7,0.5
486,10,8,0,10,8,0.5
487,10,9,0,10,9,0.5
488,10,11,0,10,11,0.5
489,10,12,0,10,12,0.5
490,10,12,1,10,12,0.5
491,10,13,0,10,13,0.5
492,10,14,0,10,9,0.25
493,10,14,0,9,14,0.25
494,10,14,0,10,11,0.25
495,10,14,0,11,14,0.25
496,10,15,0,10,12,0.25
497,10,15,0,12,15,0.25
498,10,15,1,10,12,0.25
499,10,15,0,10,13,0.25
500,10,15,0,13,15,0.25
501,10,16,0,10,13,0.5
502,10,16,0,13,16,0.5
503,10,17,0,10,9,0.5
504,10,17,0,9,6,0.5
505,10,17,0,6,17,0.5
506,10,18,0,10,8,0.25
507,10,18,0,8,18,0.25
508,10,18,0,10,12,0.25
509,10,18,0,12,18,0.25
510,10,18,1,10,12,0.25
511,11,0,0,11,0,0.5
512,11,1,0,11,8,0.25
513,11,1,0,8,1,0.25
514,11,1,0,11,0,0.25
515,11,1,0,0,1,0.25
516,11,2,0,11,0,0.5
517,11,2,0,0,2,0.5
518,11,3,0,11,0,0.5
519,11,3,0,0,3,0.5
520,11,4,0,11,9,0.25
521,11,4,0,7,4,0.25
522,11,5,0,11,12,0.25
523,11,5,0,11,13,0.25
524,11,5,0,13,5,0.25
525,11,6,0,11,9,0.25
526,11,6,0,9,6,0.25
527,11,6,0,11,8,0.25
528,11,6,0,8,6,0.25
529,11,8,0,11,8,0.5
530,11,9,0,11,9,0.5
531,11,10,0,11,10,0.5
532,11,12,0,11,12,0.5
533,11,13,0,11,13,0.5
534,11,14,0,11,14,0.5
535,11,15,0,11,12,0.25
536,11,15,0,12,15,0.25
537,11,15,0,11,13,0.25
538,11,15,0,13,15,0.25
539,11,16,0,11,13,0.25
540,11,16,0,13,16,0.25
541,11,16,0,11,14,0.25
542,11,16,0,14,16,0.25
543,11,17,0,11,14,0.25
544,11,17,0,14,17,0.25
545,11,17,0,11,0,0.25
546,11,17,0,0,17,0.25
547,11,17,1,0,17,0.25
548,11,18,0,11,12,0.25
549,11,18,0,12,18,0.25
550,11,18,0,11,8,0.25
551,11,18,0,8,18,0.25
552,12,0,0,12,11,0.25
553,12,0,0,11,0,0.25
554,12,0,0,12,14,0.25
555,12,0,0,14,0,0.25
556,12,1,0,12,7,0.25
557,12,1,0,7,1,0.25
558,12,1,0,12,18,0.25
559,12,1,0,18,1,0.25
560,12,2,0,12,18,0.25
561,12,2,0,18,2,0.25
562,12,2,0,5,2,0.25
563,12,3,0,5,3,0.5
564,12,4,0,12,9,0.25
565,12,4,0,12,7,0.25
566,12,4,0,7,4,0.25
567,12,6,0,12,14,0.25
568,12,6,0,14,6,0.25
569,12,6,0,12,9,0.25
570,12,6,0,9,6,0.25
571,12,7,0,12,7,0.5
572,12,8,0,12,11,0.25
573,12,8,0,11,8,0.25
574,12,8,0,12,10,0.25
575,12,8,0,10,8,0.25
576,12,9,0,12,9,0.5
577,12,10,0,12,10,0.5
578,12,11,0,12,11,0.5
579,12,13,0,12,13,0.5
580,12,14,0,12,14,0.5
581,12,15,0,12,15,0.5
582,12,16,0,12,13,0.25
583,12,16,0,13,16,0.25
584,12,16,0,12,14,0.25
585,12,16,0,14,16,0.25
586,12,17,0,12,14,0.25
587,12,17,0,14,17,0.25
588,12,17,0,12,15,0.25
589,12,17,0,15,17,0.25
590,12,18,0,12,18,0.5
591,13,0,0,13,14,0.25
592,13,0,0,14,0,0.25
593,13,0,0,13,11,0.25
594,13,0,0,11,0,0.25
595,13,1,0,13,12,0.5
596,13,1,0,12,7,0.5
597,13,1,0,7,1,0.5
598,13,2,0,13,16,0.25
599,13,2,0,16,2,0.25
600,13,2,0,13,5,0.25
601,13,2,0,5,2,0.25
602,13,3,0,13,16,0.25
603,13,3,0,16,3,0.25
604,13,3,0,13,5,0.25
605,13,3,0,5,3,0.25
606,13,4,0,13,5,0.5
607,13,4,0,5,4,0.5
608,13,5,0,13,5,0.5
609,13,6,0,13,14,0.25
610,13,6,0,14,6,0.25
611,13,6,0,13,16,0.25
612,13,6,0,16,6,0.25
613,13,7,0,13,12,0.25
614,13,7,0,12,7,0.25
615,13,7,0,13,11,0.25
616,13,8,0,13,11,0.25
617,13,8,0,11,8,0.25
618,13,8,0,13,10,0.25
619,13,8,0,10,8,0.25
620,13,9,0,13,12,0.25
621,13,9,0,12,9,0.25
622,13,9,0,13,14,0.25
623,13,10,0,13,10,0.5
624,13,11,0,13,11,0.5
625,13,12,0,13,12,0.5
626,13,14,0,13,14,0.5
627,13,15,0,13,15,0.5
628,13,16,0,13,16,0.5
629,13,17,0,13,14,0.25
630,13,17,0,14,17,0.25
631,13,17,0,13,15,0.25
632,13,17,0,15,17,0.25
633,13,18,0,13,12,0.25
634,13,18,0,12,18,0.25
635,13,18,0,13,15,0.25
636,13,18,0,15,18,0.25
637,14,0,0,14,0,0.5
638,14,1,0,14,17,0.25
639,14,1,0,17,1,0.25
640,14,1,0,14,0,0.25
641,14,1,0,0,1,0.25
642,14,2,0,14,16,0.25
643,14,2,0,16,2,0.25
644,14,2,0,14,17,0.25
645,14,2,0,17,2,0.25
646,14,3,0,14,16,0.25
647,14,3,0,16,3,0.25
648,14,3,0,14,0,0.25
649,14,3,0,0,3,0.25
650,14,4,0,14,6,0.25
651,14,4,0,6,4,0.25
652,14,5,0,14,5,0.5
653,14,6,0,14,6,0.5
654,14,7,0,14,12,0.25
655,14,7,0,12,7,0.25
656,14,7,0,14,11,0.25
657,14,8,0,14,11,0.25
658,14,8,0,11,8,0.25
659,14,8,0,14,6,0.25
660,14,8,0,6,8,0.25
661,14,10,0,14,13,0.25
662,14,10,0,13,10,0.25
663,14,10,0,14,12,0.25
664,14,10,0,12,10,0.25
665,14,11,0,14,11,0.5
666,14,12,0,14,12,0.5
667,14,13,0,14,13,0.5
668,14,15,0,14,15,0.5
669,14,16,0,14,16,0.5
670,14,17,0,14,17,0.5
671,14,18,0,14,15,0.25
672,14,18,0,15,18,0.25
673,14,18,0,14,12,0.25
674,14,18,0,12,18,0.25
675,15,0,0,15,0,0.5
676,15,1,0,15,17,0.25
677,15,1,0,17,1,0.25
678,15,1,0,15,18,0.25
679,15,1,0,18,1,0.25
680,15,2,0,15,16,0.25
681,15,2,0,16,2,0.25
682,15,2,0,15,17,0.25
683,15,2,0,17,2,0.25
684,15,3,0,15,16,0.25
685,15,3,0,16,3,0.25
686,15,3,0,15,0,0.25
687,15,3,0,0,3,0.25
688,15,4,0,15,14,0.5
