,0,1,2,3,4,5
0,0,1,0,0,1,1
1,0,2,0,0,2,1
2,0,3,0,0,3,1
3,0,4,0,0,4,1
4,0,5,0,0,5,1
5,0,6,0,0,6,1
6,0,7,0,0,7,1
7,0,8,0,0,8,1
8,0,9,0,0,9,1
9,0,10,0,0,10,1
10,0,11,0,0,11,1
11,0,12,0,0,12,1
12,0,13,0,0,13,1
13,0,14,0,0,14,1
14,0,15,0,0,15,1
15,0,16,0,0,16,1
16,1,0,0,1,0,1
17,1,2,0,1,2,1
18,1,3,0,1,3,1
19,1,4,0,1,4,1
20,1,5,0,1,5,1
21,1,6,0,1,6,1
22,1,7,0,1,7,1
23,1,8,0,1,8,1
24,1,9,0,1,9,1
25,1,10,0,1,10,1
26,1,11,0,1,11,1
27,1,12,0,1,12,1
28,1,13,0,1,13,1
29,1,14,0,1,14,1
30,1,15,0,1,15,1
31,1,16,0,1,16,1
32,2,0,0,2,0,1
33,2,1,0,2,1,1
34,2,3,0,2,3,1
35,2,4,0,2,4,1
36,2,5,0,2,5,1
37,2,6,0,2,6,1
38,2,7,0,2,7,1
39,2,8,0,2,8,1
40,2,9,0,2,9,1
41,2,10,0,2,10,1
42,2,11,0,2,11,1
43,2,12,0,2,12,1
44,2,13,0,2,13,1
45,2,14,0,2,14,1
46,2,15,0,2,15,1
47,2,16,0,2,16,1
48,3,0,0,3,0,1
49,3,1,0,3,1,1
50,3,2,0,3,2,1
51,3,4,0,3,4,1
52,3,5,0,3,5,1
53,3,6,0,3,6,1
54,3,7,0,3,7,1
55,3,8,0,3,8,1
56,3,9,0,3,9,1
57,3,10,0,3,10,1
58,3,11,0,3,11,1
59,3,12,0,3,12,1
60,3,13,0,3,13,1
61,3,14,0,3,14,1
62,3,15,0,3,15,1
63,3,16,0,3,16,1
64,4,0,0,4,0,1
65,4,1,0,4,1,1
66,4,2,0,4,2,1
67,4,3,0,4,3,1
68,4,5,0,4,5,1
69,4,6,0,4,6,1
70,4,7,0,4,7,1
71,4,8,0,4,8,1
72,4,9,0,4,9,1
73,4,10,0,4,10,1
74,4,11,0,4,11,1
75,4,12,0,4,12,1
76,4,13,0,4,13,1
77,4,14,0,4,14,1
78,4,15,0,4,15,1
79,4,16,0,4,16,1
80,5,0,0,5,0,1
81,5,1,0,5,1,1
82,5,2,0,5,2,1
83,5,3,0,5,3,1
84,5,4,0,5,4,1
85,5,6,0,5,6,1
86,5,7,0,5,7,1
87,5,8,0,5,8,1
88,5,9,0,5,9,1
89,5,10,0,5,10,1
90,5,11,0,5,11,1
91,5,12,0,5,12,1
92,5,13,0,5,13,1
93,5,14,0,5,14,1
94,5,15,0,5,15,1
95,5,16,0,5,16,1
96,6,0,0,6,0,1
97,6,1,0,6,1,1
98,6,2,0,6,2,1
99,6,3,0,6,3,1
100,6,4,0,6,4,1
101,6,5,0,6,5,1
102,6,7,0,6,7,1
103,6,8,0,6,8,1
104,6,9,0,6,9,1
105,6,10,0,6,10,1
106,6,11,0,6,11,1
107,6,12,0,6,12,1
108,6,13,0,6,13,1
109,6,14,0,6,14,1
110,6,15,0,6,15,1
111,6,16,0,6,16,1
112,7,0,0,7,0,1
113,7,1,0,7,1,1
114,7,2,0,7,2,1
115,7,3,0,7,3,1
116,7,4,0,7,4,1
117,7,5,0,7,5,1
118,7,6,0,7,6,1
119,7,8,0,7,8,1
120,7,9,0,7,9,1
121,7,10,0,7,10,1
122,7,11,0,7,11,1
123,7,12,0,7,12,1
124,7,13,0,7,13,1
125,7,14,0,7,14,1
126,7,15,0,7,15,1
127,7,16,0,7,16,1
128,8,0,0,8,0,1
129,8,1,0,8,1,1
130,8,2,0,8,2,1
131,8,3,0,8,3,1
132,8,4,0,8,4,1
133,8,5,0,8,5,1
134,8,6,0,8,6,1
135,8,7,0,8,7,1
136,8,9,0,8,9,1
137,8,10,0,8,10,1
138,8,11,0,8,11,1
139,8,12,0,8,12,1
140,8,13,0,8,13,1
141,8,14,0,8,14,1
142,8,15,0,8,15,1
143,8,16,0,8,16,1
144,9,0,0,9,0,1
