,0,1,2,3
0,0,0,1,48928.0
1,1,0,1,48928.0
2,0,0,2,33408.0
3,1,0,2,33408.0
4,0,1,3,79382.0
5,1,1,3,79382.0
6,0,2,3,45054.0
7,1,2,3,45054.0
8,0,0,5,74892.0
9,0,5,3,69326.0
10,1,0,5,74892.0
11,1,5,3,69326.0
12,0,0,4,57034.0
13,1,0,4,57034.0
14,0,5,6,42718.0
15,1,5,6,42718.0
16,0,4,6,74734.0
17,1,4,6,74734.0
18,0,1,7,103496.0
19,1,1,7,103496.0
20,0,0,9,80055.0
21,0,9,7,42568.0
22,1,0,9,80055.0
23,1,9,7,42568.0
24,0,5,7,84004.0
25,1,5,7,84004.0
26,0,0,10,72174.0
27,0,10,8,66511.0
28,1,0,10,72174.0
29,1,10,8,66511.0
30,0,9,8,49509.0
31,1,9,8,49509.0
32,0,1,0,48924.0
33,1,1,0,48924.0
34,0,1,2,31618.0
35,1,1,2,31618.0
36,0,2,4,43334.0
37,1,2,4,43334.0
38,0,3,4,57568.0
39,1,3,4,57568.0
40,0,3,5,64576.0
41,1,3,5,64576.0
42,0,7,5,78237.0
43,1,7,5,78237.0
44,0,7,6,85179.0
45,1,7,6,85179.0
46,0,3,8,74927.0
47,1,3,8,74927.0
48,0,1,10,26957.0
49,1,1,10,26957.0
50,0,7,8,58552.0
51,1,7,8,58552.0
52,0,1,9,43167.0
53,1,1,9,43167.0
54,0,2,0,55899.0
55,1,2,0,55899.0
56,0,2,1,46547.0
57,1,2,1,46547.0
58,0,4,5,17926.0
59,1,4,5,17926.0
60,0,3,2,51516.0
61,1,3,2,51516.0
62,0,4,0,55510.0
63,1,4,0,55510.0
64,0,3,1,44459.0
65,1,3,1,44459.0
66,0,8,6,54896.0
67,1,8,6,54896.0
68,0,8,7,42934.0
69,1,8,7,42934.0
70,0,8,9,64552.0
71,1,8,9,64552.0
72,0,8,10,44718.0
73,1,8,10,44718.0
74,0,4,3,43100.0
75,1,4,3,43100.0
76,0,4,2,50970.0
77,1,4,2,50970.0
78,0,6,7,61881.0
79,1,6,7,61881.0
80,0,6,8,46035.0
81,1,6,8,46035.0
82,0,5,0,113434.0
83,1,5,0,113434.0
84,0,7,1,94574.0
85,1,7,1,94574.0
86,0,5,4,45355.0
87,1,5,4,45355.0
88,0,7,9,40961.0
89,1,7,9,40961.0
90,0,6,5,45280.0
91,1,6,5,45280.0
92,0,6,4,69327.0
93,1,6,4,69327.0
94,0,8,3,71940.0
95,1,8,3,71940.0
96,0,9,0,69132.0
97,1,9,0,69132.0
98,0,9,10,25982.0
99,1,9,10,25982.0
100,0,10,0,64182.0
101,1,10,0,64182.0
102,0,9,1,17980.0
103,1,9,1,17980.0
104,0,10,1,41846.0
105,1,10,1,41846.0
106,0,10,9,10174.0
107,1,10,9,10174.0
