,0,1,2,3
0,0,0,1,14826
1,1,0,1,14826
2,2,0,1,14826
3,0,0,1,14826
4,0,1,2,11360
5,1,0,1,14826
6,1,1,2,11360
7,2,0,1,14826
8,2,1,2,11360
9,0,0,3,15700
10,0,3,2,16010
11,1,0,3,15700
12,1,3,2,16010
13,2,0,3,15700
14,2,3,2,16010
15,0,0,3,15700
16,1,0,3,15700
17,2,0,3,15700
18,0,0,4,12784
19,1,0,4,12784
20,2,0,4,12784
21,0,1,0,17388
22,1,1,0,17388
23,2,1,0,17388
24,0,1,2,11360
25,1,1,2,11360
26,2,1,2,11360
27,0,1,0,17388
28,0,0,3,15700
29,1,1,0,17388
30,1,0,3,15700
31,2,1,0,17388
32,2,0,3,15700
33,0,1,2,11360
34,0,2,3,11300
35,1,1,2,11360
36,1,2,3,11300
37,2,1,2,11360
38,2,2,3,11300
39,0,1,0,17388
40,0,0,4,12784
41,1,1,0,17388
42,1,0,4,12784
43,2,1,0,17388
44,2,0,4,12784
45,0,2,1,13910
46,0,1,0,17388
47,1,2,1,13910
48,1,1,0,17388
49,2,2,1,13910
50,2,1,0,17388
51,0,2,3,11300
52,0,3,0,8418
53,1,2,3,11300
54,1,3,0,8418
55,2,2,3,11300
56,2,3,0,8418
57,0,2,1,13910
58,1,2,1,13910
59,2,2,1,13910
60,0,2,3,11300
61,1,2,3,11300
62,2,2,3,11300
63,0,2,3,11300
64,0,3,4,8128
65,1,2,3,11300
66,1,3,4,8128
67,2,2,3,11300
68,2,3,4,8128
69,0,3,0,8418
70,1,3,0,8418
71,2,3,0,8418
72,0,3,2,16010
73,0,2,1,13910
74,1,3,2,16010
75,1,2,1,13910
76,2,3,2,16010
77,2,2,1,13910
78,0,3,0,8418
79,0,0,1,14826
80,1,3,0,8418
81,1,0,1,14826
82,2,3,0,8418
83,2,0,1,14826
84,0,3,2,16010
85,1,3,2,16010
86,2,3,2,16010
87,0,3,4,8128
88,1,3,4,8128
89,2,3,4,8128
90,0,4,0,8270
91,1,4,0,9380
92,2,4,0,6050
93,0,4,0,8270
94,0,0,1,14826
95,1,4,0,9380
96,1,0,1,14826
97,2,4,0,6050
98,2,0,1,14826
99,0,4,3,3360
100,0,3,2,16010
101,1,4,3,3360
102,1,3,2,16010
103,2,4,3,3360
104,2,3,2,16010
105,0,4,3,3360
106,1,4,3,3360
107,2,4,3,3360
