,0,1,2,3
0,0,0,1,4708
1,0,0,2,2031
2,0,0,3,9653
3,0,0,4,3594
4,0,0,5,15159
5,0,0,6,8747
6,0,0,7,1808
7,0,0,8,1159
8,0,0,9,11894
9,0,0,10,1276
10,0,0,11,972
11,0,0,12,623
12,0,0,13,8872
13,0,0,14,980
14,0,0,15,58
15,0,0,16,100
16,0,1,0,20629
17,0,1,2,46083
18,0,1,3,39046
19,0,1,4,38685
20,0,1,5,51363
21,0,1,6,15097
22,0,1,7,11501
23,0,1,8,10460
24,0,1,9,40323
25,0,1,10,12123
26,0,1,11,10503
27,0,1,12,19804
28,0,1,13,11493
29,0,1,14,24976
30,0,1,15,335
31,0,1,16,987
32,0,2,0,18865
33,0,2,1,64948
34,0,2,3,37117
35,0,2,4,44471
36,0,2,5,42463
37,0,2,6,12354
38,0,2,7,7564
39,0,2,8,5669
40,0,2,9,44098
41,0,2,10,22434
42,0,2,11,25229
43,0,2,12,25721
44,0,2,13,10392
45,0,2,14,9332
46,0,2,15,270
47,0,2,16,1669
48,0,3,0,973
49,0,3,1,1137
50,0,3,2,520
51,0,3,4,2645
52,0,3,5,3906
53,0,3,6,653
54,0,3,7,211
55,0,3,8,178
56,0,3,9,3328
57,0,3,10,394
58,0,3,11,196
59,0,3,12,109
60,0,3,13,333
61,0,3,14,152
62,0,3,15,5
63,0,3,16,15
64,0,4,0,3420
65,0,4,1,10944
66,0,4,2,6217
67,0,4,3,15664
68,0,4,5,12528
69,0,4,6,2600
70,0,4,7,1170
71,0,4,8,1037
72,0,4,9,10788
73,0,4,10,3376
74,0,4,11,1408
75,0,4,12,883
76,0,4,13,1566
77,0,4,14,1039
78,0,4,15,30
79,0,4,16,103
80,0,5,0,7161
81,0,5,1,11795
82,0,5,2,3099
83,0,5,3,21157
84,0,5,4,9087
85,0,5,6,9360
86,0,5,7,2748
87,0,5,8,3631
88,0,5,9,9782
89,0,5,10,1622
90,0,5,11,1057
91,0,5,12,763
92,0,5,13,2780
93,0,5,14,1541
94,0,5,15,44
95,0,5,16,97
96,0,6,0,8530
97,0,6,1,6501
98,0,6,2,2021
99,0,6,3,8817
100,0,6,4,4075
101,0,6,5,2471
102,0,6,7,4594
103,0,6,8,3877
104,0,6,9,7117
105,0,6,10,394
106,0,6,11,795
107,0,6,12,583
108,0,6,13,3485
109,0,6,14,1198
110,0,6,15,46
111,0,6,16,80
112,0,7,0,35509
113,0,7,1,66705
114,0,7,2,18503
115,0,7,3,44480
116,0,7,4,27635
117,0,7,5,82193
118,0,7,6,36895
119,0,7,8,25605
120,0,7,9,42719
121,0,7,10,66705
122,0,7,11,18503
123,0,7,12,6678
124,0,7,13,20527
125,0,7,14,20442
126,0,7,15,816
127,0,7,16,819
128,0,8,0,9496
129,0,8,1,35081
130,0,8,2,5430
131,0,8,3,15030
132,0,8,4,9806
133,0,8,5,35768
134,0,8,6,13520
135,0,8,7,11548
136,0,8,9,12060
137,0,8,10,2343
138,0,8,11,1796
139,0,8,12,1691
140,0,8,13,4711
141,0,8,14,5028
142,0,8,15,110
143,0,8,16,183
144,0,9,0,27526
145,0,9,1,19382
146,0,9,2,11439
147,0,9,3,53515
148,0,9,4,22845
149,0,9,5,37734
150,0,9,6,10818
151,0,9,7,4217
152,0,9,8,2963
153,0,9,10,11489
154,0,9,11,6018
155,0,9,12,2966
156,0,9,13,8235
157,0,9,14,3339
158,0,9,15,148
159,0,9,16,520
160,0,10,0,9860
161,0,10,1,16744
162,0,10,2,21690
163,0,10,3,21839
164,0,10,4,19680
165,0,10,5,19603
166,0,10,6,5578
167,0,10,7,2795
168,0,10,8,1987
169,0,10,9,37521
170,0,10,11,19754
171,0,10,12,4048
172,0,10,13,4618
173,0,10,14,2795
174,0,10,15,102
175,0,10,16,649
176,0,11,0,19348
177,0,11,1,32579
178,0,11,2,39940
179,0,11,3,32877
180,0,11,4,26099
181,0,11,5,34886
182,0,11,6,10972
183,0,11,7,6256
184,0,11,8,4084
185,0,11,9,48654
186,0,11,10,39940
187,0,11,12,12005
188,0,11,13,10585
189,0,11,14,6489
190,0,11,15,277
191,0,11,16,4266
192,0,12,0,5426
193,0,12,1,15581
194,0,12,2,18590
195,0,12,3,8656
196,0,12,4,7878
197,0,12,5,10566
198,0,12,6,3381
199,0,12,7,2332
200,0,12,8,1570
201,0,12,9,11224
202,0,12,10,4351
203,0,12,11,6032
204,0,12,13,3246
205,0,12,14,3228
206,0,12,15,98
207,0,12,16,612
208,0,13,0,45592
209,0,13,1,14454
210,0,13,2,6559
211,0,13,3,19866
212,0,13,4,9890
213,0,13,5,30798
214,0,13,6,6559
215,0,13,7,5732
216,0,13,8,3270
217,0,13,9,22381
218,0,13,10,3650
219,0,13,11,3211
220,0,13,12,2264
221,0,13,14,3372
222,0,13,15,430
223,0,13,16,372
224,0,14,0,14955
225,0,14,1,63626
226,0,14,2,15271
227,0,14,3,22837
228,0,14,4,17180
229,0,14,5,34363
230,0,14,6,11236
231,0,14,7,12020
232,0,14,8,8188
233,0,14,9,23209
234,0,14,10,5724
235,0,14,11,5184
236,0,14,12,6759
237,0,14,13,8684
238,0,14,15,330
239,0,14,16,565
240,0,15,0,3112
241,0,15,1,3241
242,0,15,2,1416
243,0,15,3,2776
244,0,15,4,1730
245,0,15,5,4012
246,0,15,6,1643
247,0,15,7,1639
248,0,15,8,668
249,0,15,9,3490
250,0,15,10,3241
251,0,15,11,1416
252,0,15,12,606
253,0,15,13,3767
254,0,15,14,1106
255,0,15,16,99
256,0,16,0,3313
257,0,16,1,5203
258,0,16,2,4534
259,0,16,3,4819
260,0,16,4,3580
261,0,16,5,5561
262,0,16,6,1864
263,0,16,7,1162
264,0,16,8,709
265,0,16,9,7160
266,0,16,10,5203
267,0,16,11,4534
268,0,16,12,1933
269,0,16,13,2010
270,0,16,14,1180
271,0,16,15,61
