-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.06
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	367968.0	367968.0	367968.0	0	 	0
0	2	241296.0	241296.0	241296.0	0	 	0
0	3	45648.0	45648.0	45648.0	0	 	0
0	4	3408.0	3408.0	3408.0	0	 	0
0	5	110080.0	108432.0	108432.0	0	 	1648.0
0	6	392592.0	392592.0	392592.0	0	 	0
0	7	432.0	432.0	432.0	0	 	0
0	8	181632.0	181632.0	181632.0	0	 	0
0	9	201312.0	201312.0	201312.0	0	 	0
0	10	371664.0	371664.0	371664.0	0	 	0
0	11	324960.0	324960.0	324960.0	0	 	0
0	12	329472.0	329472.0	329472.0	0	 	0
0	13	271872.0	271872.0	271872.0	0	 	0
0	14	341376.0	341376.0	358230.0	16854.0	 	0
0	15	294096.0	294096.0	294096.0	0	 	0
0	16	100320.0	100320.0	100320.0	0	 	0
1	0	303648.0	303648.0	303648.0	0	 	0
1	2	258960.0	258960.0	258960.0	0	 	0
1	3	128844.0	127584.0	127584.0	0	 	1260.0
1	4	349392.0	349392.0	349392.0	0	 	0
1	5	255360.0	255360.0	255360.0	0	 	0
1	6	205632.0	205632.0	205632.0	0	 	0
1	7	181824.0	181824.0	181824.0	0	 	0
1	8	406032.0	406032.0	406032.0	0	 	0
1	9	192792.0	195312.0	192789.0	0	 	3.0
1	10	187968.0	187968.0	187968.0	0	 	0
1	11	208752.0	208752.0	208752.0	0	 	0
1	12	189504.0	189504.0	203123.0	13619.0	 	0
1	13	176640.0	176640.0	176640.0	0	 	0
1	14	4464.0	4464.0	4464.0	0	 	0
1	15	165984.0	165984.0	165984.0	0	 	0
1	16	92172.0	90912.0	90912.0	0	 	1260.0
2	0	212448.0	212448.0	212448.0	0	 	0
2	1	217448.0	208464.0	208464.0	0	 	8984.0
2	3	19824.0	19824.0	19824.0	0	 	0
2	4	358704.0	358704.0	331360.0	0	 	27344.0
2	5	145008.0	145008.0	145008.0	0	 	0
2	6	17664.0	17664.0	19249.0	1585.0	 	0
2	7	252048.0	252048.0	252048.0	0	 	0
2	8	210912.0	210912.0	231217.0	20305.0	 	0
2	9	405888.0	405888.0	405888.0	0	 	0
2	10	92064.0	92064.0	92064.0	0	 	0
2	11	292848.0	292848.0	292848.0	0	 	0
2	12	11596.0	10128.0	10865.0	0	 	731.0
2	13	351504.0	351504.0	351504.0	0	 	0
2	14	345504.0	345504.0	345504.0	0	 	0
2	15	239664.0	239664.0	239664.0	0	 	0
2	16	85728.0	85728.0	85728.0	0	 	0
3	0	139632.0	139632.0	139632.0	0	 	0
3	1	123752.0	114768.0	114768.0	0	 	8984.0
3	2	372124.0	370656.0	370656.0	0	 	1468.0
3	4	81168.0	81168.0	81168.0	0	 	0
3	5	18556.0	17088.0	17088.0	0	 	1468.0
3	6	182496.0	182496.0	182496.0	0	 	0
3	7	367200.0	367200.0	367200.0	0	 	0
3	8	95520.0	95520.0	95520.0	0	 	0
3	9	284200.0	282720.0	282720.0	0	 	1480.0
3	10	254640.0	254640.0	254640.0	0	 	0
3	11	94404.0	88368.0	88368.0	0	 	6036.0
3	12	197848.0	200784.0	185291.0	0	 	12557.0
3	13	71340.0	77376.0	71339.0	0	 	1.0
3	14	325872.0	325872.0	325872.0	0	 	0
3	15	2832.0	2832.0	2832.0	0	 	0
3	16	30624.0	30624.0	30624.0	0	 	0
4	0	29040.0	29040.0	29040.0	0	 	0
4	1	131136.0	131136.0	131136.0	0	 	0
4	2	3744.0	3744.0	3744.0	0	 	0
4	3	120336.0	120336.0	120336.0	0	 	0
4	5	157920.0	157920.0	157920.0	0	 	0
4	6	329616.0	329616.0	329616.0	0	 	0
4	7	348864.0	348864.0	321948.0	0	 	26916.0
4	8	264384.0	264384.0	264384.0	0	 	0
4	9	353184.0	353184.0	353184.0	0	 	0
4	10	204048.0	204048.0	204048.0	0	 	0
4	11	297072.0	297072.0	297072.0	0	 	0
4	12	404736.0	404736.0	404736.0	0	 	0
4	13	343536.0	343536.0	343536.0	0	 	0
4	14	360624.0	360624.0	360624.0	0	 	0
4	15	273792.0	273792.0	273792.0	0	 	0
4	16	394368.0	394368.0	394368.0	0	 	0
5	0	332016.0	332016.0	332016.0	0	 	0
5	1	239952.0	239952.0	239952.0	0	 	0
5	2	187344.0	187344.0	187344.0	0	 	0
5	3	205996.0	205776.0	205995.0	0	 	1.0
5	4	366336.0	366336.0	366336.0	0	 	0
5	6	41260.0	41040.0	43240.0	1980.0	 	0
5	7	350304.0	350304.0	350304.0	0	 	0
5	8	232992.0	232992.0	232992.0	0	 	0
5	9	159496.0	159936.0	159936.0	440.0	 	0
5	10	157728.0	157728.0	157728.0	0	 	0
5	11	93552.0	93552.0	93552.0	0	 	0
5	12	132124.0	130656.0	119033.0	0	 	13091.0
5	13	249072.0	249072.0	249072.0	0	 	0
5	14	238656.0	238656.0	238656.0	0	 	0
5	15	155184.0	155184.0	155184.0	0	 	0
5	16	208800.0	208800.0	208800.0	0	 	0
6	0	295680.0	295680.0	277420.0	0	 	18260.0
6	1	51984.0	51984.0	51984.0	0	 	0
6	2	155280.0	155280.0	155280.0	0	 	0
6	3	399744.0	399744.0	399744.0	0	 	0
6	4	403152.0	403152.0	403152.0	0	 	0
6	5	176736.0	176736.0	176736.0	0	 	0
6	7	185136.0	185136.0	185136.0	0	 	0
6	8	381264.0	381264.0	381264.0	0	 	0
6	9	208636.0	208416.0	208416.0	0	 	220.0
6	10	328176.0	328176.0	328176.0	0	 	0
6	11	392736.0	392736.0	392736.0	0	 	0
6	12	17616.0	17616.0	17616.0	0	 	0
6	13	316800.0	316800.0	316800.0	0	 	0
6	14	206064.0	206064.0	206064.0	0	 	0
6	15	61200.0	61200.0	61200.0	0	 	0
6	16	112464.0	112464.0	112464.0	0	 	0
7	0	371952.0	371952.0	371952.0	0	 	0
7	1	66480.0	66480.0	66480.0	0	 	0
7	2	85968.0	85968.0	85968.0	0	 	0
7	3	125136.0	125136.0	134003.0	8867.0	 	0
