-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.0
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	6282.0	6282.0	6282.0	0	 	0
0	2	9612.0	9612.0	9612.0	0	 	0
0	3	162.0	162.0	162.0	0	 	0
1	0	7164.000000000001	7164.0	7164.0	0	 	9.094947017729282e-13
1	2	5688.0	5688.0	5688.0	0	 	0
1	3	3672.0000000000005	3672.0	3581.0	0	 	91.00000000000045
2	0	8958.0	8958.0	8958.0	0	 	0
2	1	4800.0	4800.0	4800.0	0	 	0
2	3	3294.0	3294.0	3294.0	0	 	0
3	0	3900.0000000000005	3900.0	3969.0	68.99999999999955	 	0
3	1	7542.0	7542.0	7542.0	0	 	0
3	2	3666.0000000000005	3666.0	3666.0	0	 	4.547473508864641e-13

l	i	j	v Observado	v Estimado
0	0	1	2094.0	2094.0
1	0	1	2094.0	2094.0
2	0	1	2094.0	2094.0
0	0	2	3204.0	3204.0
1	0	2	3204.0	3204.0
2	0	2	3204.0	3204.0
0	0	3	54.0	54.0
1	0	3	54.0	54.0
2	0	3	54.0	54.0
0	1	0	2388.0	2388.0
1	1	0	2388.0	2388.0
2	1	0	2388.0	2388.0
0	1	2	1896.0	1896.0
1	1	2	1896.0	1896.0
2	1	2	1896.0	1896.0
0	1	3	1224.0	1224.0
1	1	3	1224.0	1224.0
2	1	3	1224.0	1224.0
0	2	0	2986.0	2986.0
1	2	0	2986.0	2986.0
2	2	0	2986.0	2986.0
0	2	1	1600.0	1600.0
1	2	1	1600.0	1600.0
2	2	1	1600.0	1600.0
0	2	3	1098.0	1098.0
1	2	3	1098.0	1098.0
2	2	3	1098.0	1098.0
0	3	0	1300.0	1300.0
1	3	0	1300.0	1300.0
2	3	0	1300.0	1300.0
0	3	1	2514.0	2514.0
1	3	1	2514.0	2514.0
2	3	1	2514.0	2514.0
0	3	2	1222.0	1222.0
1	3	2	1222.0	1222.0
2	3	2	1222.0	1222.0
