-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.088
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	220104.0	220104.0	220100.0	-0.0	 	4.0
0	2	36114.0	36108.0	36108.0	0.0	 	6.0
0	3	28980.0	28980.0	28980.0	0.0	 	0.0
0	4	114696.0	114696.0	114700.0	4.0	 	0.0
0	5	220116.0	218376.0	218380.0	-0.0	 	1736.0
0	6	105879.0	105876.0	105880.0	1.0	 	0.0
0	7	187308.0	187308.0	197420.0	10112.0	 	0.0
0	8	167400.0	167400.0	173050.0	5650.0	 	0.0
0	9	247026.0	247032.0	247030.0	4.0	 	0.0
0	10	285411.0	285408.0	285410.0	-0.0	 	1.0
0	11	52098.0	51840.0	51840.0	0.0	 	258.0
0	12	46356.0	46368.0	46368.0	12.0	 	0.0
0	13	155160.0	155160.0	155160.0	0.0	 	0.0
0	14	229968.0	229968.0	229970.0	2.0	 	0.0
0	15	155919.0	155916.0	155920.0	1.0	 	0.0
0	16	114699.0	114696.0	114700.0	1.0	 	0.0
1	0	249951.0	249948.0	249950.0	-0.0	 	1.0
1	2	26928.0	26928.0	26928.0	0.0	 	0.0
1	3	248514.0	248256.0	248260.0	-0.0	 	254.0
1	4	88560.0	88560.0	88560.0	0.0	 	0.0
1	5	18360.0	18360.0	18360.0	0.0	 	0.0
1	6	136227.0	136224.0	136220.0	-0.0	 	7.0
1	7	232128.0	232128.0	232130.0	2.0	 	0.0
1	8	19440.0	19440.0	19440.0	0.0	 	0.0
1	9	304062.0	304056.0	304060.0	0.0	 	2.0
1	10	163329.0	163332.0	166910.0	3581.0	 	0.0
1	11	137088.0	137088.0	137090.0	2.0	 	0.0
1	12	282780.0	282780.0	282780.0	0.0	 	0.0
1	13	207180.0	207180.0	207180.0	0.0	 	0.0
1	14	169992.0	169992.0	169990.0	0.0	 	2.0
1	15	80964.0	80964.0	80964.0	0.0	 	0.0
1	16	148932.0	148932.0	148930.0	-0.0	 	2.0
2	0	70920.0	70920.0	74582.0	3662.0	 	0.0
2	1	166572.0	166572.0	166570.0	-0.0	 	2.0
2	3	264999.0	264996.0	265000.0	1.0	 	0.0
2	4	266331.0	266328.0	266330.0	-0.0	 	1.0
2	5	14940.0	14940.0	14940.0	0.0	 	0.0
2	6	213618.0	213624.0	213620.0	2.0	 	0.0
2	7	20268.0	20268.0	20268.0	0.0	 	0.0
2	8	269928.0	269928.0	269930.0	2.0	 	0.0
2	9	162864.0	162864.0	174750.0	11886.0	 	0.0
2	10	80352.0	80352.0	87617.0	7265.0	 	0.0
2	11	24984.0	24984.0	24984.0	0.0	 	0.0
2	12	201099.0	201096.0	201100.0	1.0	 	0.0
2	13	25560.0	25560.0	25560.0	0.0	 	0.0
2	14	304416.0	304416.0	304420.0	4.0	 	0.0
2	15	277740.0	277740.0	277740.0	0.0	 	0.0
2	16	209559.0	209556.0	214010.0	4451.0	 	0.0
3	0	107574.0	107568.0	107570.0	-0.0	 	4.0
3	1	95079.0	95076.0	95076.0	0.0	 	3.0
3	2	154584.0	154584.0	154580.0	-0.0	 	4.0
