-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.0
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	1188.0	1188.0	1188.0	0.0	 	0.0
0	2	1004.0	1004.0	1084.0	80.0	 	0.0
0	3	2840.0	2840.0	2840.0	0.0	 	0.0
1	0	3704.0	3704.0	3704.0	0.0	 	0.0
1	2	816.0	816.0	816.0	0.0	 	0.0
1	3	580.0	580.0	580.0	0.0	 	0.0
2	0	7416.0	7416.0	7416.0	0.0	 	0.0
2	1	4384.0	4384.0	4384.0	0.0	 	0.0
2	3	6016.0	6016.0	6217.0	201.0	 	0.0
3	0	3440.0	3440.0	3440.0	0.0	 	0.0
3	1	6460.0	6460.0	6460.0	0.0	 	0.0
3	2	1052.0	1052.0	1052.0	0.0	 	0.0

l	i	j	v Observado	v Estimado
0	0	1	594.0	594.0
1	0	1	594.0	594.0
0	0	2	502.0	502.0
1	0	2	502.0	502.0
0	0	3	1420.0	1420.0
1	0	3	1420.0	1420.0
0	1	0	1852.0	1852.0
1	1	0	1852.0	1852.0
0	1	2	408.0	408.0
1	1	2	408.0	408.0
0	1	3	290.0	290.0
1	1	3	290.0	290.0
0	2	0	3708.0	3708.0
1	2	0	3708.0	3708.0
0	2	1	2192.0	2192.0
1	2	1	2192.0	2192.0
0	2	3	3008.0	3008.0
1	2	3	3008.0	3008.0
0	3	0	1720.0	1720.0
1	3	0	1720.0	1720.0
0	3	1	3230.0	3230.0
1	3	1	3230.0	3230.0
0	3	2	526.0	526.0
1	3	2	526.0	526.0
