-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.004
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	3792.0	3792.0	4063.0	271.0	 	0.0
0	2	27096.0	27096.0	28642.0	1546.0	 	0.0
0	3	28488.0	28488.0	28488.0	0.0	 	0.0
0	4	15531.0	15276.0	15533.0	2.0	 	0.0
1	0	20319.0	20064.0	20064.0	0.0	 	255.0
1	2	15468.0	15468.0	15468.0	0.0	 	0.0
1	3	10128.0	10128.0	10128.0	0.0	 	0.0
1	4	22821.0	23076.0	23076.0	255.0	 	0.0
2	0	7920.0	7920.0	7920.0	0.0	 	0.0
2	1	25452.0	25452.0	25452.0	0.0	 	0.0
2	3	636.0	636.0	636.0	0.0	 	0.0
2	4	24240.0	24240.0	24240.0	0.0	 	0.0
3	0	8976.0	8976.0	8976.0	0.0	 	0.0
3	1	24636.0	24636.0	24636.0	0.0	 	0.0
3	2	20352.0	20352.0	20352.0	0.0	 	0.0
3	4	144.0	144.0	144.0	0.0	 	0.0
4	0	8880.0	8880.0	8880.0	0.0	 	0.0
4	1	14820.0	14820.0	14820.0	0.0	 	0.0
4	2	1812.0	1812.0	1812.0	0.0	 	0.0
4	3	8268.0	8268.0	8268.0	0.0	 	0.0

l	i	j	v Observado	v Estimado
0	0	1	14826.0	14826.0
1	0	1	14826.0	14826.0
2	0	1	14826.0	14826.0
0	1	2	11360.0	11360.0
1	1	2	11360.0	11360.0
2	1	2	11360.0	11360.0
0	0	3	15700.0	15700.0
0	3	2	16010.0	16010.0
1	0	3	15700.0	15700.0
1	3	2	16010.0	16010.0
2	0	3	15700.0	15700.0
2	3	2	16010.0	16010.0
0	0	4	12784.0	12784.0
1	0	4	12784.0	12784.0
2	0	4	12784.0	12784.0
0	1	0	17388.0	17388.0
1	1	0	17388.0	17388.0
2	1	0	17388.0	17388.0
0	2	3	11300.0	11300.0
1	2	3	11300.0	11300.0
2	2	3	11300.0	11300.0
0	2	1	13910.0	13910.0
1	2	1	13910.0	13910.0
2	2	1	13910.0	13910.0
0	3	0	8418.0	8418.0
1	3	0	8418.0	8418.0
2	3	0	8418.0	8418.0
0	3	4	8128.0	8128.0
1	3	4	8128.0	8128.0
2	3	4	8128.0	8128.0
0	4	0	7900.0	7900.0
1	4	0	7900.0	7900.0
2	4	0	7900.0	7900.0
0	4	3	3360.0	3360.0
1	4	3	3360.0	3360.0
2	4	3	3360.0	3360.0
