-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.16
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	194364.0	191088.0	190540.0	0.0	 	3824.0
0	2	449180.0	449184.0	449180.0	0.0	 	0.0
0	3	240672.0	240672.0	240670.0	0.0	 	2.0
0	4	140160.0	140160.0	140160.0	0.0	 	0.0
0	5	117704.0	117696.0	117700.0	0.0	 	4.0
0	6	385440.0	385440.0	385440.0	0.0	 	0.0
0	7	90672.0	90672.0	90672.0	0.0	 	0.0
0	8	15648.0	15648.0	15648.0	0.0	 	0.0
0	9	466512.0	466512.0	466510.0	0.0	 	2.0
0	10	358128.0	358128.0	358130.0	2.0	 	0.0
0	11	257472.0	257472.0	257470.0	0.0	 	2.0
0	12	87680.0	90960.0	87680.0	0.0	 	0.0
0	13	26632.0	28032.0	26625.0	0.0	 	7.0
0	14	433488.0	433488.0	433490.0	2.0	 	0.0
0	15	459072.0	459072.0	459070.0	0.0	 	2.0
0	16	451248.0	451248.0	451250.0	2.0	 	0.0
0	17	150012.0	141600.0	141600.0	0.0	 	8412.0
0	18	333120.0	333120.0	333120.0	0.0	 	0.0
0	19	171340.0	170640.0	170640.0	0.0	 	700.0
1	0	114140.0	114144.0	114140.0	0.0	 	0.0
1	2	105072.0	105072.0	102540.0	0.0	 	2532.0
1	3	412656.0	412656.0	382480.0	0.0	 	30176.0
1	4	85564.0	77088.0	77088.0	0.0	 	8476.0
1	5	450380.0	450384.0	450380.0	0.0	 	0.0
1	6	167808.0	167808.0	167810.0	2.0	 	0.0
1	7	474580.0	474576.0	474580.0	0.0	 	0.0
1	8	216960.0	216960.0	216960.0	0.0	 	0.0
1	9	445392.0	445392.0	445390.0	0.0	 	2.0
1	10	209808.0	209808.0	209810.0	2.0	 	0.0
1	11	23760.0	23760.0	23760.0	0.0	 	0.0
1	12	300824.0	300816.0	300820.0	0.0	 	4.0
1	13	157544.0	157536.0	157540.0	0.0	 	4.0
1	14	98256.0	98256.0	98256.0	0.0	 	0.0
1	15	720.0	720.0	720.0	0.0	 	0.0
1	16	452160.0	452160.0	452160.0	0.0	 	0.0
1	17	398640.0	398640.0	398640.0	0.0	 	0.0
1	18	361008.0	361008.0	341500.0	0.0	 	19508.0
1	19	112240.0	109296.0	109300.0	0.0	 	2940.0
2	0	369788.0	369792.0	369790.0	2.0	 	0.0
2	1	134592.0	134592.0	134590.0	0.0	 	2.0
2	3	58656.0	58656.0	56304.0	0.0	 	2352.0
2	4	214660.0	193392.0	193390.0	0.0	 	21270.0
2	5	45120.0	45120.0	45120.0	0.0	 	0.0
2	6	82128.0	82128.0	82128.0	0.0	 	0.0
2	7	106848.0	106848.0	106850.0	2.0	 	0.0
2	8	266064.0	266064.0	266060.0	0.0	 	4.0
2	9	39408.0	39408.0	39408.0	0.0	 	0.0
2	10	258140.0	258144.0	258140.0	0.0	 	0.0
2	11	469472.0	451728.0	451730.0	0.0	 	17742.0
2	12	446296.0	478080.0	442210.0	0.0	 	4086.0
2	13	272448.0	272448.0	272450.0	2.0	 	0.0
2	14	447360.0	447360.0	447360.0	0.0	 	0.0
2	15	155280.0	155280.0	155280.0	0.0	 	0.0
2	16	347988.0	332064.0	332060.0	0.0	 	15928.0
2	17	199920.0	199920.0	199920.0	0.0	 	0.0
2	18	324624.0	324624.0	324620.0	0.0	 	4.0
2	19	110736.0	110736.0	110740.0	4.0	 	0.0
3	0	271728.0	271728.0	271730.0	2.0	 	0.0
3	1	120844.0	114864.0	114860.0	0.0	 	5984.0
3	2	13776.0	13776.0	13776.0	0.0	 	0.0
3	4	13872.0	13872.0	13872.0	0.0	 	0.0
3	5	414432.0	414432.0	414430.0	0.0	 	2.0
3	6	123548.0	123552.0	123550.0	2.0	 	0.0
3	7	181296.0	181296.0	181300.0	4.0	 	0.0
3	8	45696.0	45696.0	45696.0	0.0	 	0.0
3	9	220752.0	220752.0	220750.0	0.0	 	2.0
3	10	28320.0	28320.0	28320.0	0.0	 	0.0
3	11	332208.0	332208.0	332210.0	2.0	 	0.0
3	12	271832.0	261744.0	261740.0	0.0	 	10092.0
3	13	249704.0	249696.0	249700.0	0.0	 	4.0
3	14	409144.0	421104.0	409140.0	0.0	 	4.0
3	15	310656.0	310656.0	310660.0	4.0	 	0.0
3	16	475296.0	479376.0	442260.0	0.0	 	33036.0
3	17	299472.0	299472.0	299470.0	0.0	 	2.0
3	18	222288.0	222288.0	222290.0	2.0	 	0.0
3	19	143616.0	143616.0	143620.0	4.0	 	0.0
4	0	102576.0	102576.0	102580.0	4.0	 	0.0
4	1	194592.0	194592.0	182410.0	0.0	 	12182.0
4	2	359532.0	357936.0	357940.0	0.0	 	1592.0
4	3	50064.0	50064.0	50064.0	0.0	 	0.0
4	5	191852.0	191856.0	191860.0	8.0	 	0.0
4	6	435552.0	435552.0	435550.0	0.0	 	2.0
4	7	350260.0	350256.0	350260.0	0.0	 	0.0
4	8	275760.0	275760.0	275760.0	0.0	 	0.0
4	9	469932.0	468096.0	468100.0	0.0	 	1832.0
4	10	395328.0	395328.0	395330.0	2.0	 	0.0
4	11	465384.0	468576.0	465380.0	0.0	 	4.0
4	12	455096.0	455088.0	455090.0	0.0	 	6.0
4	13	317760.0	317760.0	317760.0	0.0	 	0.0
4	14	478752.0	478752.0	478750.0	0.0	 	2.0
4	15	371620.0	371616.0	371620.0	0.0	 	0.0
4	16	82608.0	82608.0	82608.0	0.0	 	0.0
4	17	213984.0	213984.0	213980.0	0.0	 	4.0
4	18	283968.0	283968.0	283970.0	2.0	 	0.0
4	19	404640.0	404640.0	404640.0	0.0	 	0.0
5	0	326592.0	326592.0	326590.0	0.0	 	2.0
5	1	138772.0	138768.0	138770.0	0.0	 	2.0
5	2	242984.0	242736.0	242740.0	0.0	 	244.0
5	3	156044.0	154944.0	154940.0	0.0	 	1104.0
5	4	200020.0	200016.0	200020.0	0.0	 	0.0
5	6	241088.0	241536.0	218210.0	0.0	 	22878.0
5	7	70896.0	70896.0	70896.0	0.0	 	0.0
5	8	73696.0	73440.0	73440.0	0.0	 	256.0
5	9	199248.0	199248.0	199250.0	2.0	 	0.0
5	10	136032.0	136032.0	136030.0	0.0	 	2.0
5	11	165856.0	166368.0	165850.0	0.0	 	6.0
5	12	429792.0	429792.0	429790.0	0.0	 	2.0
5	13	47728.0	47280.0	47280.0	0.0	 	448.0
5	14	154272.0	154272.0	154270.0	0.0	 	2.0
5	15	390236.0	390240.0	390240.0	4.0	 	0.0
5	16	425864.0	425856.0	425860.0	0.0	 	4.0
5	17	251564.0	251568.0	251570.0	6.0	 	0.0
5	18	288292.0	288288.0	288290.0	0.0	 	2.0
5	19	413280.0	413280.0	413280.0	0.0	 	0.0
6	0	96344.0	93792.0	87886.0	0.0	 	8458.0
6	1	142456.0	142464.0	142460.0	4.0	 	0.0
6	2	476500.0	476496.0	476500.0	0.0	 	0.0
6	3	39552.0	39552.0	39552.0	0.0	 	0.0
6	4	457440.0	457440.0	457440.0	0.0	 	0.0
6	5	420244.0	420240.0	420240.0	0.0	 	4.0
6	7	357220.0	357216.0	357220.0	0.0	 	0.0
6	8	150856.0	150144.0	150140.0	0.0	 	716.0
6	9	277844.0	276432.0	276430.0	0.0	 	1414.0
