-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.01
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	39756.0	39756.0	39756.0	0.0	 	0.0
0	2	1488.0	1488.0	1488.0	0.0	 	0.0
0	3	10449.0	11268.0	10448.0	-0.0	 	1.0
0	4	28008.0	28008.0	28008.0	0.0	 	0.0
0	5	31329.0	30528.0	30528.0	0.0	 	801.0
0	6	10596.0	10596.0	10596.0	0.0	 	0.0
1	0	4932.0	4932.0	4932.0	0.0	 	0.0
1	2	864.0	864.0	864.0	0.0	 	0.0
1	3	36000.0	36000.0	36000.0	0.0	 	0.0
1	4	23664.0	23664.0	23664.0	0.0	 	0.0
1	5	18342.0	18324.0	18324.0	0.0	 	18.0
1	6	1836.0	1836.0	1836.0	0.0	 	0.0
2	0	474.0	492.0	474.0	0.0	 	0.0
2	1	20226.0	20208.0	20208.0	0.0	 	18.0
2	3	3216.0	3216.0	3130.0	-0.0	 	86.0
2	4	25092.0	25092.0	25092.0	0.0	 	0.0
2	5	37068.0	37068.0	37068.0	0.0	 	0.0
2	6	7608.0	7608.0	7608.0	0.0	 	0.0
3	0	32844.0	32844.0	32844.0	0.0	 	0.0
3	1	27648.0	27648.0	27648.0	0.0	 	0.0
3	2	23280.0	23280.0	23280.0	0.0	 	0.0
3	4	7560.0	7560.0	7560.0	0.0	 	0.0
3	5	16824.0	16824.0	16824.0	0.0	 	0.0
3	6	22524.0	22524.0	22524.0	0.0	 	0.0
4	0	28440.0	28440.0	28440.0	0.0	 	0.0
4	1	29136.0	29136.0	29136.0	0.0	 	0.0
4	2	19092.0	19092.0	19092.0	0.0	 	0.0
4	3	24948.0	24948.0	24068.0	-0.0	 	880.0
4	5	41208.0	41208.0	41208.0	0.0	 	0.0
4	6	32016.0	32016.0	32016.0	0.0	 	0.0
5	0	26460.0	26460.0	26460.0	0.0	 	0.0
5	1	6624.0	6624.0	6101.0	-0.0	 	523.0
5	2	10776.0	10776.0	10776.0	0.0	 	0.0
5	3	26655.0	25836.0	25836.0	0.0	 	819.0
5	4	41625.0	41280.0	41280.0	0.0	 	345.0
5	6	7920.0	7920.0	7920.0	0.0	 	0.0
6	0	10152.0	10152.0	10152.0	0.0	 	0.0
6	1	28728.0	28728.0	28728.0	0.0	 	0.0
6	2	3120.0	3120.0	3120.0	0.0	 	0.0
6	3	31056.0	31056.0	31056.0	0.0	 	0.0
6	4	3747.0	4092.0	3747.0	0.0	 	0.0
6	5	19149.0	18804.0	17903.0	-0.0	 	1246.0

l	i	j	v Observado	v Estimado
0	0	1	30908.0	30908.0
1	0	1	30908.0	30908.0
2	0	1	30908.0	30908.0
0	1	2	17248.0	17248.0
1	1	2	17248.0	17248.0
2	1	2	17248.0	17248.0
0	0	5	33320.0	33320.0
0	5	3	26832.0	26832.0
1	0	5	33320.0	33320.0
1	5	3	26832.0	26832.0
2	0	5	33320.0	33320.0
2	5	3	26832.0	26832.0
0	5	4	28404.0	28404.0
1	5	4	28404.0	28404.0
2	5	4	28404.0	28404.0
0	0	6	5412.0	5412.0
1	0	6	5412.0	5412.0
2	0	6	5412.0	5412.0
0	1	0	13740.0	13740.0
1	1	0	13740.0	13740.0
2	1	0	13740.0	13740.0
0	2	3	39004.0	39004.0
1	2	3	39004.0	39004.0
2	2	3	39004.0	39004.0
0	3	4	14828.0	14828.0
1	3	4	14828.0	14828.0
2	3	4	14828.0	14828.0
0	2	1	22240.0	22240.0
1	2	1	22240.0	22240.0
2	2	1	22240.0	22240.0
0	3	5	37688.0	37688.0
1	3	5	37688.0	37688.0
2	3	5	37688.0	37688.0
0	5	6	22088.0	22088.0
1	5	6	22088.0	22088.0
2	5	6	22088.0	22088.0
0	5	0	36312.0	36312.0
1	5	0	36312.0	36312.0
2	5	0	36312.0	36312.0
0	3	2	32308.0	32308.0
1	3	2	32308.0	32308.0
2	3	2	32308.0	32308.0
0	4	5	38744.0	38744.0
1	4	5	38744.0	38744.0
2	4	5	38744.0	38744.0
0	4	3	19536.0	19536.0
1	4	3	19536.0	19536.0
2	4	3	19536.0	19536.0
0	6	0	13480.0	13480.0
1	6	0	13480.0	13480.0
2	6	0	13480.0	13480.0
0	6	5	18504.0	18504.0
1	6	5	18504.0	18504.0
2	6	5	18504.0	18504.0
