-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.02
CPU time: 0.095
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	263196.0	263196.0	263196.0	0	 	0
0	2	121248.0	121248.0	121248.0	0	 	0
0	3	205632.0	205632.0	205632.0	0	 	0
0	4	81432.0	81432.0	81432.0	0	 	0
0	5	203076.0	203076.0	203076.0	0	 	0
0	6	268704.0	268704.0	268704.0	0	 	0
0	7	240012.0	240012.0	240012.0	0	 	0
0	8	339552.0	339552.0	339552.0	0	 	0
0	9	203220.0	203220.0	203220.0	0	 	0
0	10	195876.0	195876.0	195876.0	0	 	0
0	11	28080.0	28080.0	28080.0	0	 	0
0	12	303048.0	303048.0	303048.0	0	 	0
0	13	330336.0	330336.0	330336.0	0	 	0
0	14	158616.0	158616.0	158616.0	0	 	0
0	15	122544.0	122544.0	122544.0	0	 	0
0	16	142380.0	142380.0	142380.0	0	 	0
0	17	109116.0	109116.0	109116.0	0	 	0
0	18	9648.0	9648.0	9648.0	0	 	0
1	0	204624.0	204624.0	204624.0	0	 	0
1	2	142452.0	142452.0	142452.0	0	 	0
1	3	139860.0	139860.0	139860.0	0	 	0
1	4	221868.0	221868.0	221868.0	0	 	0
1	5	101664.0	101664.0	101664.0	0	 	0
1	6	267912.0	267912.0	267912.0	0	 	0
1	7	91512.0	91512.0	91512.0	0	 	0
1	8	108288.0	108288.0	108288.0	0	 	0
1	9	192060.0	192060.0	192060.0	0	 	0
1	10	41976.0	41976.0	41976.0	0	 	0
1	11	173124.0	173124.0	173124.0	0	 	0
1	12	202068.0	202068.0	202068.0	0	 	0
1	13	137988.0	137988.0	137988.0	0	 	0
1	14	317592.0	317592.0	317592.0	0	 	0
1	15	9324.0	9324.0	9324.0	0	 	0
1	16	150408.0	150408.0	150408.0	0	 	0
1	17	312552.0	312552.0	312552.0	0	 	0
1	18	110196.0	110196.0	110196.0	0	 	0
2	0	311220.0	311220.0	311220.0	0	 	0
2	1	61776.0	61776.0	61776.0	0	 	0
2	3	245844.0	245844.0	245844.0	0	 	0
2	4	27576.0	27576.0	27576.0	0	 	0
2	5	100584.0	100584.0	100584.0	0	 	0
2	6	181944.0	181944.0	181944.0	0	 	0
2	7	152532.0	152532.0	152532.0	0	 	0
2	8	52416.0	52416.0	52416.0	0	 	0
2	9	211968.0	211968.0	211968.0	0	 	0
2	10	68184.0	68184.0	68184.0	0	 	0
2	11	68832.0	68832.0	68832.0	0	 	0
2	12	59184.0	59184.0	59184.0	0	 	0
2	13	116064.0	116064.0	116064.0	0	 	0
2	14	118404.0	118404.0	118404.0	0	 	0
2	15	173448.0	173448.0	173448.0	0	 	0
2	16	79560.0	79560.0	79560.0	0	 	0
2	17	1728.0	1728.0	1728.0	0	 	0
2	18	29376.0	29376.0	29376.0	0	 	0
3	0	138348.0	138348.0	138348.0	0	 	0
