-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.1
CPU time: 0.001
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	6568.0	6568.0	6568.0	0	 	0
0	2	7048.0	7048.0	7048.0	0	 	0
0	3	12544.0	12544.0	12544.0	0	 	0
0	4	1936.0	1936.0	1936.0	0	 	0
1	0	12688.0	12688.0	12688.0	0	 	0
1	2	10296.0	10296.0	10296.0	0	 	0
1	3	3008.0	3008.0	3008.0	0	 	0
1	4	4872.0	4872.0	4872.0	0	 	0
2	0	1864.0	1864.0	1864.0	0	 	0
2	1	19568.0	19568.0	19568.0	0	 	0
2	3	5952.0	5952.0	5952.0	0	 	0
2	4	5528.0	5528.0	5528.0	0	 	0
3	0	336.0	336.0	336.0	0	 	0
3	1	6904.0	6904.0	6904.0	0	 	0
3	2	12304.0	12304.0	12304.0	0	 	0
3	4	19728.0	19728.0	19728.0	0	 	0
4	0	3888.0	3888.0	3888.0	0	 	0
4	1	10824.0	10824.0	10824.0	0	 	0
4	2	5336.0	5336.0	5336.0	0	 	0
4	3	19240.0	19240.0	19240.0	0	 	0

l	i	j	v Observado	v Estimado
0	0	1	10831.0	10831.0
1	0	1	13537.0	13537.0
0	1	2	7662.0	7662.0
1	1	2	7662.0	7662.0
0	0	3	8786.0	8786.0
0	3	2	12308.0	12308.0
1	3	2	12308.0	12308.0
1	0	3	8786.0	8786.0
0	0	4	3404.0	3404.0
1	0	4	3404.0	3404.0
0	1	0	9998.0	9998.0
1	1	0	9998.0	9998.0
0	2	3	6958.0	6958.0
1	2	3	6958.0	6958.0
0	2	1	11976.0	11976.0
1	2	1	11976.0	11976.0
0	3	0	2360.0	2360.0
1	3	0	2360.0	2360.0
0	3	4	12628.0	12628.0
1	3	4	12628.0	12628.0
0	4	0	6003.0	6003.0
1	4	0	8709.0	8709.0
0	4	3	12288.0	12288.0
1	4	3	12288.0	12288.0
