-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.25999999999999995
CPU time: 0.001
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	13688.0	13688.0	13688.0	0	 	0
0	2	1736.0	1736.0	1736.0	0	 	0
0	3	956.0	956.0	956.0	0	 	0
0	4	13700.0	13700.0	13700.0	0	 	0
0	5	3492.0	3492.0	3492.0	0	 	0
0	6	13560.0	13560.0	13560.0	0	 	0
1	0	3548.0	3548.0	3548.0	0	 	0
1	2	9180.0	9180.0	9180.0	0	 	0
1	3	1244.0	1244.0	1244.0	0	 	0
1	4	7280.0	7280.0	7280.0	0	 	0
1	5	13832.0	13832.0	13832.0	0	 	0
1	6	3112.0	3112.0	3112.0	0	 	0
2	0	8420.0	8420.0	8420.0	0	 	0
2	1	5364.0	5364.0	5364.0	0	 	0
2	3	2920.0	2920.0	2920.0	0	 	0
2	4	9800.0	9800.0	9800.0	0	 	0
2	5	424.0	424.0	424.0	0	 	0
2	6	6172.0	6172.0	6172.0	0	 	0
3	0	9980.0	9980.0	9980.0	0	 	0
3	1	9612.0	9612.0	9612.0	0	 	0
3	2	10364.0	10364.0	10364.0	0	 	0
3	4	4952.0	4952.0	4952.0	0	 	0
3	5	1628.0	1628.0	1628.0	0	 	0
3	6	4580.0	4580.0	4580.0	0	 	0
4	0	8732.0	8732.0	8732.0	0	 	0
4	1	2064.0	2064.0	2064.0	0	 	0
4	2	1572.0	1572.0	1572.0	0	 	0
4	3	4312.0	4312.0	4312.0	0	 	0
4	5	5368.0	5368.0	5368.0	0	 	0
4	6	11516.0	11516.0	11516.0	0	 	0
5	0	12368.0	12368.0	12368.0	0	 	0
5	1	10012.0	10012.0	10012.0	0	 	0
5	2	11372.0	11372.0	11372.0	0	 	0
5	3	6352.0	6352.0	6352.0	0	 	0
5	4	1688.0	1688.0	1688.0	0	 	0
5	6	5944.0	5944.0	5944.0	0	 	0
6	0	13540.0	13540.0	13540.0	0	 	0
6	1	13660.0	13660.0	13660.0	0	 	0
6	2	2460.0	2460.0	2460.0	0	 	0
6	3	5376.0	5376.0	5376.0	0	 	0
6	4	6360.0	6360.0	6360.0	0	 	0
6	5	8488.0	8488.0	8488.0	0	 	0

l	i	j	v Observado	v Estimado
0	0	1	41358.0	41358.0
0	0	1	41358.0	41358.0
0	1	2	17030.0	17030.0
0	0	5	35620.0	35620.0
0	5	3	25286.0	25286.0
0	0	5	35620.0	35620.0
0	5	4	25388.0	25388.0
0	0	5	35620.0	35620.0
0	0	6	21301.0	21301.0
0	1	0	37181.0	37181.0
0	1	2	17030.0	17030.0
0	1	2	17030.0	17030.0
0	2	3	19571.0	19571.0
0	1	0	37181.0	37181.0
0	0	5	35620.0	35620.0
0	5	4	25388.0	25388.0
0	1	2	17030.0	17030.0
0	2	3	19571.0	19571.0
0	3	4	18392.0	18392.0
0	1	0	37181.0	37181.0
0	0	5	35620.0	35620.0
0	1	0	37181.0	37181.0
0	0	6	21301.0	21301.0
0	2	1	29057.0	29057.0
0	1	0	37181.0	37181.0
0	2	1	29057.0	29057.0
0	2	3	19571.0	19571.0
0	2	3	19571.0	19571.0
0	3	4	18392.0	18392.0
0	2	3	19571.0	19571.0
0	3	5	18155.0	18155.0
0	2	1	29057.0	29057.0
0	1	0	37181.0	37181.0
0	0	6	21301.0	21301.0
0	2	3	19571.0	19571.0
0	3	5	18155.0	18155.0
0	5	6	23583.0	23583.0
0	3	5	18155.0	18155.0
0	5	0	42124.0	42124.0
0	3	2	35182.0	35182.0
0	2	1	29057.0	29057.0
0	3	2	35182.0	35182.0
0	3	4	18392.0	18392.0
0	3	5	18155.0	18155.0
0	3	5	18155.0	18155.0
0	5	6	23583.0	23583.0
0	4	5	26648.0	26648.0
0	5	0	42124.0	42124.0
0	4	3	6916.0	6916.0
0	3	2	35182.0	35182.0
0	2	1	29057.0	29057.0
0	4	5	26648.0	26648.0
0	5	0	42124.0	42124.0
0	0	1	41358.0	41358.0
0	4	3	6916.0	6916.0
0	3	2	35182.0	35182.0
0	4	3	6916.0	6916.0
0	4	5	26648.0	26648.0
0	4	5	26648.0	26648.0
0	5	6	23583.0	23583.0
0	5	0	42124.0	42124.0
0	5	0	42124.0	42124.0
0	0	1	41358.0	41358.0
0	5	3	25286.0	25286.0
0	3	2	35182.0	35182.0
0	5	3	25286.0	25286.0
0	5	4	25388.0	25388.0
0	5	6	23583.0	23583.0
0	6	0	28430.0	28430.0
0	6	0	28430.0	28430.0
0	0	1	41358.0	41358.0
0	6	5	21454.0	21454.0
0	5	3	25286.0	25286.0
0	3	2	35182.0	35182.0
0	6	0	28430.0	28430.0
0	0	1	41358.0	41358.0
0	1	2	17030.0	17030.0
0	6	5	21454.0	21454.0
0	5	3	25286.0	25286.0
0	6	5	21454.0	21454.0
0	5	4	25388.0	25388.0
0	6	5	21454.0	21454.0
