-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 5.637
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	150216.0	150216.0	150216.0	0	 	0
0	2	143472.0	143472.0	143472.0	0	 	0
0	3	5212.0	5616.0	5212.0	0	 	0
0	4	15216.0	15216.0	15216.0	0	 	0
0	5	54744.0	54744.0	54744.0	0	 	0
0	6	164352.0	164352.0	164352.0	0	 	0
0	7	74904.0	74904.0	74904.0	0	 	0
0	8	44346.0	44664.0	44346.0	0	 	0
0	9	43344.0	41112.0	43902.0	558.0	 	0
0	10	83544.0	83544.0	83544.0	0	 	0
0	11	69240.0	69240.0	69240.0	0	 	0
0	12	41996.0	42216.0	41994.0	0	 	2.0
0	13	62760.0	62760.0	62760.0	0	 	0
0	14	18048.0	18048.0	18048.0	0	 	0
1	0	94252.0	102504.0	94251.0	0	 	1.0
1	2	95400.0	95400.0	95400.0	0	 	0
1	3	5966.0	5376.0	5376.0	0	 	590.0
1	4	17280.0	17280.0	17280.0	0	 	0
1	5	23832.0	23832.0	23832.0	0	 	0
1	6	131256.0	131256.0	131256.0	0	 	0
1	7	140088.0	140088.0	140088.0	0	 	0
1	8	47184.0	47184.0	47184.0	0	 	0
1	9	54578.0	56112.0	54578.0	0	 	0
1	10	98016.0	98016.0	98016.0	0	 	0
1	11	92112.0	92112.0	92112.0	0	 	0
1	12	177648.0	177648.0	177648.0	0	 	0
1	13	42264.0	42264.0	42264.0	0	 	0
1	14	84096.0	84096.0	84096.0	0	 	0
2	0	159048.0	159048.0	159048.0	0	 	0
2	1	52344.0	52344.0	52344.0	0	 	0
2	3	48010.0	47808.0	47808.0	0	 	202.0
2	4	147864.0	147864.0	147864.0	0	 	0
2	5	90312.0	90312.0	90312.0	0	 	0
2	6	60532.0	62544.0	60529.0	0	 	3.0
2	7	85752.0	85752.0	85752.0	0	 	0
2	8	64848.0	64848.0	64848.0	0	 	0
2	9	110952.0	110952.0	110952.0	0	 	0
2	10	28774.0	29040.0	28773.0	0	 	1.0
2	11	49368.0	49368.0	49368.0	0	 	0
2	12	146750.0	146640.0	146640.0	0	 	110.0
2	13	79272.0	79272.0	79272.0	0	 	0
2	14	5664.0	5664.0	5664.0	0	 	0
3	0	8640.0	8640.0	8640.0	0	 	0
3	1	57744.0	57744.0	57744.0	0	 	0
3	2	6166.0	6432.0	6432.0	266.0	 	0
3	4	36672.0	36672.0	36672.0	0	 	0
3	5	87912.0	87912.0	87912.0	0	 	0
3	6	121056.0	121056.0	121056.0	0	 	0
3	7	32676.0	35400.0	32673.0	0	 	3.0
3	8	79080.0	79080.0	79080.0	0	 	0
3	9	161064.0	161064.0	161064.0	0	 	0
3	10	42436.0	41040.0	42435.0	0	 	1.0
3	11	80784.0	81216.0	81216.0	432.0	 	0
3	12	128712.0	128712.0	128712.0	0	 	0
3	13	64280.0	70368.0	64277.0	0	 	3.0
3	14	136488.0	136488.0	136488.0	0	 	0
4	0	123716.0	111456.0	111456.0	0	 	12260.0
4	1	165696.0	165696.0	165696.0	0	 	0
4	2	152232.0	152232.0	152232.0	0	 	0
4	3	114816.0	114816.0	114816.0	0	 	0
4	5	133176.0	133176.0	133176.0	0	 	0
4	6	157488.0	157488.0	157488.0	0	 	0
4	7	10152.0	10152.0	10152.0	0	 	0
4	8	177888.0	177888.0	177888.0	0	 	0
4	9	54408.0	54408.0	54408.0	0	 	0
4	10	60912.0	60912.0	60912.0	0	 	0
4	11	109080.0	109080.0	109080.0	0	 	0
4	12	76608.0	76608.0	76608.0	0	 	0
4	13	83472.0	83472.0	83472.0	0	 	0
4	14	28056.0	28056.0	28056.0	0	 	0
5	0	156504.0	156504.0	156504.0	0	 	0
5	1	156696.0	156696.0	156696.0	0	 	0
5	2	12096.0	12096.0	12096.0	0	 	0
5	3	158808.0	158808.0	158808.0	0	 	0
5	4	56136.0	56136.0	56136.0	0	 	0
5	6	159576.0	159576.0	159576.0	0	 	0
5	7	109558.0	106032.0	106032.0	0	 	3526.0
5	8	14088.0	14088.0	14088.0	0	 	0
5	9	76360.0	80688.0	73528.0	0	 	2832.0
